,"Table 6. Share to Total Annual Family Income, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1661,Cash Receipts from Abroad,9.13,6.26,7.09,-2.870000000000001,0.83
1662,Cash Receipts from Domestic Sources,7.94,10.48,7.25,2.54,-3.22
1663,Rentals Received,0.44,0.49,0.55,0.04999999999999999,0.06
1664,Interest,0.05,0.02,0.14,-0.030000000000000002,0.13
1665,Pension,3.38,5.49,3.67,2.1100000000000003,-1.83
1666,Dividends,0.03,0.05,0.08,0.020000000000000004,0.02
1667,"Other Source of Income, NEC",0.01,0.03,0,0.019999999999999997,-0.03
1668,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.59,0.89,0.79,0.30000000000000004,-0.1
1669,Net Receipt from Family Sustenance Activities,2.35,2.77,3.24,0.41999999999999993,0.46
1670,Received as Gifts,4.35,5.23,3.76,0.8800000000000008,-1.47
1671,Imputed Rent,8.47,8.42,6.74,-0.05000000000000071,-1.68
1672,,,,,,
1673,Lanao Del Norte (Excluding City of Iligan),,,,,
1674,Share to Family Income,100,100.0,100,,
1675,Wage/Salaries,39.89,45.38,44.8,5.490000000000002,-0.58
1676,Entrepreneurial Activities,30.98,25.14,28.11,-5.84,2.97
1677,Cash Receipts from Abroad,7.64,4.69,4.94,-2.9499999999999993,0.26
1678,Cash Receipts from Domestic Sources,7.86,7.24,6.89,-0.6200000000000001,-0.35
1679,Rentals Received,0.19,0.29,0.33,0.09999999999999998,0.03
1680,Interest,0.21,0.05,0.17,-0.15999999999999998,0.12
1681,Pension,2.81,3.73,2.82,0.9199999999999999,-0.91
1682,Dividends,0.53,0.08,0.01,-0.45,-0.06
1683,"Other Source of Income, NEC",0.03,0.17,0.09,0.14,-0.08
1684,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.54,1.16,0.91,-0.3800000000000001,-0.25
1685,Net Receipt from Family Sustenance Activities,1.73,2.07,1.85,0.33999999999999986,-0.23
1686,Received as Gifts,1.5,2.48,2.63,0.98,0.15
1687,Imputed Rent,5.1,7.52,6.45,2.42,-1.07
1688,,,,,,
1689,City of Iligan,,,,,
1690,Share to Family Income,100,100.0,100,,
1691,Wage/Salaries,46.99,53.95,54.4,6.960000000000001,0.45
1692,Entrepreneurial Activities,20.19,16.33,18.32,-3.860000000000003,1.99
1693,Cash Receipts from Abroad,11.19,6.53,5.83,-4.659999999999999,-0.71
1694,Cash Receipts from Domestic Sources,5.27,5.13,3.74,-0.13999999999999968,-1.39
1695,Rentals Received,0.41,0.95,0.62,0.54,-0.33
1696,Interest,0.09,0.28,0.14,0.19000000000000003,-0.14
1697,Pension,5.42,4.66,4.92,-0.7599999999999998,0.26
1698,Dividends,0.37,1.62,0.33,1.25,-1.29
1699,"Other Source of Income, NEC",0,0.02,0.17,0.02,0.15
1700,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.13,0.18,0.15,0.04999999999999999,-0.03
1701,Net Receipt from Family Sustenance Activities,0.61,0.57,0.44,-0.040000000000000036,-0.13
1702,Received as Gifts,1.51,1.64,1.24,0.1299999999999999,-0.4
1703,Imputed Rent,7.82,8.14,9.7,0.3200000000000003,1.56
1704,,,,,,
1705,Misamis Occidental,,,,,
1706,Share to Family Income,100,100.0,100,,
1707,Wage/Salaries,43.64,48.09,49.72,4.450000000000003,1.64
1708,Entrepreneurial Activities,20.46,17.04,16.78,-3.4200000000000017,-0.26
1709,Cash Receipts from Abroad,11.61,8.36,9.69,-3.25,1.33
1710,Cash Receipts from Domestic Sources,8.48,7.19,6.69,-1.29,-0.5
1711,Rentals Received,0.43,0.68,0.54,0.25000000000000006,-0.15
1712,Interest,0.1,0.03,0.05,-0.07,0.02
1713,Pension,4.07,5.88,4.7,1.8099999999999996,-1.18
1714,Dividends,0.04,0.03,0.25,-0.010000000000000002,0.22
1715,"Other Source of Income, NEC",0,0.1,0.03,0.1,-0.07
1716,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.97,0.96,0.78,-0.010000000000000009,-0.18
1717,Net Receipt from Family Sustenance Activities,1.85,2.08,1.39,0.22999999999999998,-0.7
1718,Received as Gifts,1.47,2.41,1.69,0.9400000000000002,-0.72
1719,Imputed Rent,6.86,7.16,7.71,0.2999999999999998,0.55
1720,,,,,,
1721,Misamis Oriental (Excluding City of Cagayan De Oro),,,,,
1722,Share to Family Income,100,100.0,100,,
1723,Wage/Salaries,51.71,52.54,54.21,0.8299999999999983,1.67
1724,Entrepreneurial Activities,19.92,18.45,19.52,-1.4700000000000024,1.07
1725,Cash Receipts from Abroad,8.45,5.24,6.78,-3.209999999999999,1.54
1726,Cash Receipts from Domestic Sources,4.65,6.85,5.21,2.1999999999999993,-1.64
1727,Rentals Received,1.46,0.54,0.47,-0.9199999999999999,-0.07
1728,Interest,0.02,0.13,0.15,0.11,0.03
1729,Pension,2.33,3.47,2.65,1.1400000000000001,-0.82
1730,Dividends,0.13,0.12,0.13,-0.010000000000000009,0.02
1731,"Other Source of Income, NEC",0.04,0.14,0.07,0.1,-0.07
1732,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.45,0.61,0.45,0.15999999999999998,-0.16
1733,Net Receipt from Family Sustenance Activities,1.49,1.64,0.65,0.1499999999999999,-0.99
1734,Received as Gifts,2.3,2.66,2.32,0.3600000000000003,-0.35
1735,Imputed Rent,7.05,7.61,7.37,0.5600000000000005,-0.23
1736,,,,,,
1737,City of Cagayan De Oro,,,,,
1738,Share to Family Income,100,100.0,100,,
1739,Wage/Salaries,50.85,55.07,59.05,4.219999999999999,3.98
1740,Entrepreneurial Activities,17.06,14.27,12.84,-2.789999999999999,-1.43
1741,Cash Receipts from Abroad,9.32,6.82,8.06,-2.5,1.24
1742,Cash Receipts from Domestic Sources,2.91,3.88,2.87,0.9699999999999998,-1.01
1743,Rentals Received,1,0.77,1.04,-0.22999999999999998,0.27
1744,Interest,0.13,0.18,0.03,0.04999999999999999,-0.15
1745,Pension,4.93,4.97,2.73,0.040000000000000036,-2.24
1746,Dividends,2.25,1.06,2,-1.19,0.94
1747,"Other Source of Income, NEC",0.07,0.33,0.2,0.26,-0.13
1748,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.15,0.06,0.23,-0.09,0.17
1749,Net Receipt from Family Sustenance Activities,0.28,0.23,0.19,-0.05000000000000002,-0.04
1750,Received as Gifts,1.61,1.55,1.17,-0.06000000000000005,-0.38
1751,Imputed Rent,9.45,10.82,9.59,1.370000000000001,-1.23
1752,,,,,,
1753,REGION XI - DAVAO REGION,,,,,
1754,Share to Family Income,100,100.0,100,,
1755,Wage/Salaries,49.32,50.95,51.37,1.6300000000000026,0.41
1756,Entrepreneurial Activities,24.01,21.48,22.77,-2.530000000000001,1.3
1757,Cash Receipts from Abroad,7.15,5.34,5.44,-1.8100000000000005,0.1
1758,Cash Receipts from Domestic Sources,4.84,4.33,3.63,-0.5099999999999998,-0.7
1759,Rentals Received,0.61,0.96,0.6,0.35,-0.36
1760,Interest,0.08,0.05,0.06,-0.03,0.01
1761,Pension,2.63,2.84,3.06,0.20999999999999996,0.23
1762,Dividends,0.04,0.05,1.09,0.010000000000000002,1.05
1763,"Other Source of Income, NEC",0.04,0.14,0.1,0.1,-0.05
1764,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.67,0.83,0.81,0.15999999999999992,-0.02
1765,Net Receipt from Family Sustenance Activities,1.22,1.19,0.96,-0.030000000000000027,-0.23
1766,Received as Gifts,1.88,2.51,1.8,0.6299999999999999,-0.71
1767,Imputed Rent,7.5,9.34,8.31,1.8399999999999999,-1.03
1768,,,,,,
1769,Davao Del Norte,,,,,
1770,Share to Family Income,100,100.0,100,,
1771,Wage/Salaries,50.43,55.71,56.22,5.280000000000001,0.51
1772,Entrepreneurial Activities,25.93,18.58,18.48,-7.350000000000001,-0.1
1773,Cash Receipts from Abroad,5.07,4.02,4.79,-1.0500000000000007,0.77
1774,Cash Receipts from Domestic Sources,4.6,3.82,3.91,-0.7799999999999998,0.08
1775,Rentals Received,0.74,0.56,0.67,-0.17999999999999994,0.12
1776,Interest,0.04,0.02,0.07,-0.02,0.05
1777,Pension,3.07,2.83,3.17,-0.23999999999999977,0.34
1778,Dividends,0.05,0.01,0.11,-0.04,0.1
1779,"Other Source of Income, NEC",0.14,0.21,0.01,0.06999999999999998,-0.2
1780,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.43,0.74,1.05,0.31,0.32
1781,Net Receipt from Family Sustenance Activities,1.36,1.36,1.01,0,-0.35
1782,Received as Gifts,1.6,3.16,1.69,1.56,-1.47
1783,Imputed Rent,6.54,8.97,8.8,2.4300000000000006,-0.17
1784,,,,,,
1785,Davao Del Sur (Excluding City of Davao),,,,,
1786,Share to Family Income,100,100.0,100,,
1787,Wage/Salaries,47.32,49.72,52.28,2.3999999999999986,2.56
1788,Entrepreneurial Activities,24.93,20.98,22.86,-3.9499999999999993,1.88
1789,Cash Receipts from Abroad,7.6,6.03,5.99,-1.5699999999999994,-0.04
1790,Cash Receipts from Domestic Sources,5.4,6.23,3.77,0.8300000000000001,-2.46
1791,Rentals Received,0.64,0.61,0.9,-0.030000000000000027,0.29
1792,Interest,0,0.06,0.11,0.06,0.05
1793,Pension,3.34,3.32,3.26,-0.020000000000000018,-0.06
1794,Dividends,0.11,0.06,0.15,-0.05,0.08
1795,"Other Source of Income, NEC",0.02,0.18,0.24,0.16,0.06
1796,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.9,1.38,1.12,0.47999999999999987,-0.26
1797,Net Receipt from Family Sustenance Activities,1.77,1.52,1.13,-0.25,-0.39
1798,Received as Gifts,1.71,2.77,1.74,1.06,-1.04
1799,Imputed Rent,6.25,7.12,6.46,0.8700000000000001,-0.66
1800,,,,,,
1801,City of Davao,,,,,
1802,Share to Family Income,100,100.0,100,,
1803,Wage/Salaries,49.7,50.65,48.99,0.9499999999999957,-1.66
1804,Entrepreneurial Activities,21.32,20.7,23.66,-0.620000000000001,2.96
1805,Cash Receipts from Abroad,9.55,6.31,6.13,-3.240000000000001,-0.18
1806,Cash Receipts from Domestic Sources,3.7,2.99,2.42,-0.71,-0.57
1807,Rentals Received,0.73,1.41,0.58,0.6799999999999999,-0.83
1808,Interest,0.05,0.05,0.02,0,-0.02
1809,Pension,2.82,3.22,3.33,0.40000000000000036,0.11
1810,Dividends,0.02,0.06,2.1,0.039999999999999994,2.04
1811,"Other Source of Income, NEC",0.01,0.08,0.11,0.07,0.03
1812,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.56,0.26,0.44,-0.30000000000000004,0.18
1813,Net Receipt from Family Sustenance Activities,0.43,0.44,0.47,0.010000000000000009,0.03
1814,Received as Gifts,1.89,2.26,1.83,0.3699999999999999,-0.43
1815,Imputed Rent,9.22,11.58,9.92,2.3599999999999994,-1.66
1816,,,,,,
1817,Davao Oriental,,,,,
1818,Share to Family Income,100,100.0,100,,
1819,Wage/Salaries,47.66,53.21,54.92,5.550000000000004,1.71
1820,Entrepreneurial Activities,28.12,23.48,21.61,-4.640000000000001,-1.87
1821,Cash Receipts from Abroad,4.17,3.63,4.13,-0.54,0.51
1822,Cash Receipts from Domestic Sources,6.46,6.05,6.17,-0.41000000000000014,0.13
1823,Rentals Received,0.17,0.29,0.36,0.11999999999999997,0.07
1824,Interest,0.01,0.02,0.02,0.01,0.01
1825,Pension,1.64,1.26,1.99,-0.3799999999999999,0.74
1826,Dividends,0.09,0.01,0.03,-0.08,0.02
1827,"Other Source of Income, NEC",0.01,0.39,0.01,0.38,-0.38
1828,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.3,3.02,1.66,1.72,-1.36
1829,Net Receipt from Family Sustenance Activities,2.21,1.96,1.78,-0.25,-0.18
1830,Received as Gifts,2.09,1.83,1.97,-0.2599999999999998,0.14
1831,Imputed Rent,6.07,4.87,5.34,-1.2000000000000002,0.48
1832,,,,,,
1833,Davao De Oro,,,,,
1834,Share to Family Income,100,100.0,100,,
1835,Wage/Salaries,53.6,49.49,54.18,-4.109999999999999,4.69
1836,Entrepreneurial Activities,23.58,25.28,23.47,1.7000000000000028,-1.81
1837,Cash Receipts from Abroad,4.06,4.05,4.44,-0.009999999999999787,0.39
1838,Cash Receipts from Domestic Sources,6.28,6.5,5.01,0.21999999999999975,-1.5
1839,Rentals Received,0.31,0.52,0.42,0.21000000000000002,-0.1
1840,Interest,0.42,0.03,0.1,-0.39,0.07
1841,Pension,1.62,1.68,2.7,0.05999999999999983,1.02
1842,Dividends,0.01,0.03,0.09,0.019999999999999997,0.06
1843,"Other Source of Income, NEC",0.04,0.09,0.05,0.049999999999999996,-0.04
1844,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.62,1.09,1.22,0.4700000000000001,0.14
1845,Net Receipt from Family Sustenance Activities,2.19,2.58,1.63,0.3900000000000001,-0.95
1846,Received as Gifts,2.12,2.77,1.62,0.6499999999999999,-1.15
1847,Imputed Rent,5.15,5.9,5.07,0.75,-0.82
1848,,,,,,
1849,Davao Occidental,,,,,
1850,Share to Family Income,100,100.0,100,,
1851,Wage/Salaries,36.68,37.28,45.17,0.6000000000000014,7.9
1852,Entrepreneurial Activities,36.34,31.86,27.65,-4.480000000000004,-4.21
1853,Cash Receipts from Abroad,2.7,3.12,2.49,0.41999999999999993,-0.63
1854,Cash Receipts from Domestic Sources,10.14,8.06,8.91,-2.08,0.85
1855,Rentals Received,0.2,0.71,0.52,0.51,-0.19
1856,Interest,0.06,0.26,0.16,0.2,-0.1
1857,Pension,1.04,2.54,1.61,1.5,-0.92
1858,Dividends,0.02,0.14,0.06,0.12000000000000001,-0.08
1859,"Other Source of Income, NEC",0.02,0.14,0.07,0.12000000000000001,-0.07
1860,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.15,1.45,0.8,0.30000000000000004,-0.65
1861,Net Receipt from Family Sustenance Activities,3.31,3.67,3.05,0.3599999999999999,-0.62
1862,Received as Gifts,2.66,2.78,2.35,0.11999999999999966,-0.44
1863,Imputed Rent,5.67,7.99,7.16,2.3200000000000003,-0.83
1864,,,,,,
1865,REGION XII - SOCCSKSARGEN1/,,,,,
1866,Share to Family Income,100,100.0,100,,
1867,Wage/Salaries,41.57,46.45,45.3,4.880000000000003,-1.15
1868,Entrepreneurial Activities,31.16,24.1,28.71,-7.059999999999999,4.61
1869,Cash Receipts from Abroad,7.92,6.06,7.03,-1.8600000000000003,0.96
1870,Cash Receipts from Domestic Sources,4.73,5.18,4.82,0.4499999999999993,-0.37
1871,Rentals Received,0.65,0.5,0.49,-0.15000000000000002,-0.01
1872,Interest,0.1,0.17,0.09,0.07,-0.07
1873,Pension,2.66,2.88,2.09,0.21999999999999975,-0.79
1874,Dividends,0.27,0.23,0.14,-0.04000000000000001,-0.09
1875,"Other Source of Income, NEC",0.04,0.28,0.2,0.24000000000000002,-0.08
1876,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.86,1.26,0.87,0.4,-0.39
1877,Net Receipt from Family Sustenance Activities,2.4,2.76,1.75,0.3599999999999999,-1.01
1878,Received as Gifts,2.29,3.19,2.37,0.8999999999999999,-0.82
1879,Imputed Rent,5.34,6.93,6.15,1.5899999999999999,-0.78
1880,,,,,,
1881,Cotabato (North Cotabato),,,,,
1882,Share to Family Income,100,100.0,100,,
1883,Wage/Salaries,32.8,43.21,39.65,10.410000000000004,-3.56
1884,Entrepreneurial Activities,40.31,25.53,32.98,-14.780000000000001,7.45
1885,Cash Receipts from Abroad,7.23,6.46,7.41,-0.7700000000000005,0.95
1886,Cash Receipts from Domestic Sources,4.46,5.56,5.39,1.0999999999999996,-0.17
1887,Rentals Received,0.59,0.3,0.4,-0.29,0.09
1888,Interest,0.11,0.37,0.11,0.26,-0.26
1889,Pension,3.5,2.9,1.82,-0.6000000000000001,-1.08
1890,Dividends,0.11,0.0,0.03,-0.11,0.03
1891,"Other Source of Income, NEC",0.05,0.35,0.5,0.3,0.16
1892,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.88,1.67,1.29,0.7899999999999999,-0.38
1893,Net Receipt from Family Sustenance Activities,3.23,3.67,1.95,0.43999999999999995,-1.72
1894,Received as Gifts,1.93,3.1,2.56,1.1700000000000002,-0.54
1895,Imputed Rent,4.79,6.87,5.9,2.08,-0.97
1896,,,,,,
1897,South Cotabato (Excluding City of General Santos),,,,,
1898,Share to Family Income,100,100.0,100,,
1899,Wage/Salaries,43.61,47.48,54.85,3.8699999999999974,7.37
1900,Entrepreneurial Activities,27.33,21.9,19.19,-5.43,-2.71
1901,Cash Receipts from Abroad,9.29,6.69,6.8,-2.5999999999999988,0.11
1902,Cash Receipts from Domestic Sources,5,5.52,4.78,0.5199999999999996,-0.74
1903,Rentals Received,1.4,0.89,0.6,-0.5099999999999999,-0.29
1904,Interest,0.13,0.04,0.07,-0.09,0.03
1905,Pension,2.32,3.83,2.61,1.5100000000000002,-1.22
1906,Dividends,0.23,0.05,0.31,-0.18,0.26
1907,"Other Source of Income, NEC",0.01,0.27,0.04,0.26,-0.23
1908,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.91,1.35,0.79,0.44000000000000006,-0.57
1909,Net Receipt from Family Sustenance Activities,1.99,2.45,1.61,0.4600000000000002,-0.84
1910,Received as Gifts,2.88,2.68,2.18,-0.19999999999999973,-0.5
1911,Imputed Rent,4.91,6.85,6.17,1.9399999999999995,-0.68
1912,,,,,,
1913,City of General Santos (Dadiangas),,,,,
1914,Share to Family Income,100,100.0,100,,
1915,Wage/Salaries,53.39,53.77,53.77,0.38000000000000256,0.01
1916,Entrepreneurial Activities,21.06,21.54,19.55,0.4800000000000004,-1.98
1917,Cash Receipts from Abroad,8.07,5.56,8.54,-2.5100000000000007,2.98
1918,Cash Receipts from Domestic Sources,3.67,3.68,3.46,0.010000000000000231,-0.22
1919,Rentals Received,0.44,0.77,0.42,0.33,-0.35
1920,Interest,0.08,0.07,0.06,-0.009999999999999995,-0.01
1921,Pension,2.36,2.65,3.41,0.29000000000000004,0.76
1922,Dividends,0.55,1.06,0.27,0.51,-0.78
1923,"Other Source of Income, NEC",0.05,0.2,0.05,0.15000000000000002,-0.15
1924,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.53,0.14,0.29,-0.39,0.15
1925,Net Receipt from Family Sustenance Activities,0.56,0.46,0.34,-0.10000000000000003,-0.12
1926,Received as Gifts,2.47,2.72,2.05,0.25,-0.68
1927,Imputed Rent,6.78,7.37,7.79,0.5899999999999999,0.42
1928,,,,,,
1929,Sultan Kudarat,,,,,
1930,Share to Family Income,100,100.0,100,,
1931,Wage/Salaries,42.76,44.76,36.07,2,-8.69
1932,Entrepreneurial Activities,29.26,23.74,40.47,-5.520000000000003,16.73
1933,Cash Receipts from Abroad,8.62,6.18,5.95,-2.4399999999999995,-0.22
1934,Cash Receipts from Domestic Sources,5.65,5.82,4.67,0.16999999999999993,-1.15
1935,Rentals Received,0.12,0.2,0.75,0.08000000000000002,0.55
1936,Interest,0.03,0.06,0.09,0.03,0.03
1937,Pension,2.38,2.5,1.43,0.1200000000000001,-1.06
1938,Dividends,0.01,0.02,0.07,0.01,0.06
1939,"Other Source of Income, NEC",0.03,0.15,0.1,0.12,-0.06
1940,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1.07,1.68,0.89,0.6099999999999999,-0.79
1941,Net Receipt from Family Sustenance Activities,2.87,3.82,2.53,0.9499999999999997,-1.3
1942,Received as Gifts,1.76,4.21,2.12,2.45,-2.09
1943,Imputed Rent,5.43,6.86,4.85,1.4300000000000006,-2
1944,,,,,,
1945,Sarangani,,,,,
1946,Share to Family Income,100,100.0,100,,
1947,Wage/Salaries,46.52,42.69,45.8,-3.8300000000000054,3.1
1948,Entrepreneurial Activities,27.64,30.76,29.35,3.120000000000001,-1.41
1949,Cash Receipts from Abroad,5.19,3.83,5.39,-1.3600000000000003,1.56
1950,Cash Receipts from Domestic Sources,5.63,5.1,5.73,-0.5300000000000002,0.63
1951,Rentals Received,0.15,0.14,0.22,-0.009999999999999981,0.08
1952,Interest,0.16,0.14,0.14,-0.01999999999999999,0
1953,Pension,1.22,1.48,0.63,0.26,-0.85
1954,Dividends,1,0.15,0.01,-0.85,-0.15
1955,"Other Source of Income, NEC",0.06,0.47,0.04,0.41,-0.43
1956,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.92,1.17,0.62,0.2499999999999999,-0.56
1957,Net Receipt from Family Sustenance Activities,3.02,3.4,2.48,0.3799999999999999,-0.91
1958,Received as Gifts,2.74,4.09,3.2,1.3499999999999996,-0.9
1959,Imputed Rent,5.75,6.57,6.41,0.8200000000000003,-0.16
1960,,,,,,
1961,CARAGA,,,,,
1962,Share to Family Income,100,100.0,100,,
1963,Wage/Salaries,46.74,50.17,50.46,3.4299999999999997,0.29
1964,Entrepreneurial Activities,24.41,20.23,21.58,-4.18,1.35
1965,Cash Receipts from Abroad,6.49,5.67,5.45,-0.8200000000000003,-0.23
1966,Cash Receipts from Domestic Sources,6.63,6.8,6.85,0.16999999999999993,0.05
1967,Rentals Received,0.67,0.59,0.48,-0.08000000000000007,-0.11
1968,Interest,0.1,0.05,0.1,-0.05,0.05
1969,Pension,3.65,3.49,3.18,-0.1599999999999997,-0.32
1970,Dividends,0.11,0.08,0.16,-0.03,0.08
1971,"Other Source of Income, NEC",0.02,0.12,0.18,0.09999999999999999,0.05
1972,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.75,0.79,0.63,0.040000000000000036,-0.16
1973,Net Receipt from Family Sustenance Activities,1.76,1.96,1.59,0.19999999999999996,-0.36
1974,Received as Gifts,2.14,2.36,1.87,0.21999999999999975,-0.49
1975,Imputed Rent,6.53,7.69,7.47,1.1600000000000001,-0.22
1976,,,,,,
1977,Agusan Del Norte (Excluding City of Butuan),,,,,
1978,Share to Family Income,100,100.0,100,,
1979,Wage/Salaries,47.35,46.04,50.82,-1.3100000000000023,4.79
1980,Entrepreneurial Activities,20.23,21.25,17.93,1.0199999999999996,-3.33
1981,Cash Receipts from Abroad,9.57,7.76,8.44,-1.8100000000000005,0.68
1982,Cash Receipts from Domestic Sources,7.4,7.83,7.14,0.4299999999999997,-0.68
1983,Rentals Received,0.65,0.5,0.41,-0.15000000000000002,-0.09
1984,Interest,0.07,0.01,0.04,-0.060000000000000005,0.02
1985,Pension,3.53,4.58,3.52,1.0500000000000003,-1.07
1986,Dividends,0.09,0.07,0.1,-0.01999999999999999,0.03
1987,"Other Source of Income, NEC",0,0.12,0.1,0.12,-0.02
1988,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.83,0.52,0.44,-0.30999999999999994,-0.08
1989,Net Receipt from Family Sustenance Activities,1.53,1.63,1.4,0.09999999999999987,-0.24
1990,Received as Gifts,1.97,2.83,2.29,0.8600000000000001,-0.53
1991,Imputed Rent,6.76,6.86,7.37,0.10000000000000053,0.51
1992,,,,,,
1993,City of Butuan,,,,,
1994,Share to Family Income,100,100.0,100,,
1995,Wage/Salaries,51.83,56.31,55.01,4.480000000000004,-1.3
1996,Entrepreneurial Activities,20.12,13.28,15.5,-6.840000000000002,2.22
1997,Cash Receipts from Abroad,8.75,8.39,8.12,-0.35999999999999943,-0.27
1998,Cash Receipts from Domestic Sources,4.39,5.04,3.8,0.6500000000000004,-1.23
1999,Rentals Received,0.6,0.75,0.64,0.15000000000000002,-0.1
2000,Interest,0.04,0.06,0.04,0.019999999999999997,-0.01
2001,Pension,4.37,4.52,5.18,0.14999999999999947,0.67
2002,Dividends,0.01,0.12,0.7,0.11,0.58
2003,"Other Source of Income, NEC",0.02,0.02,0.01,0,-0.01
2004,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.32,0.28,0.36,-0.03999999999999998,0.08
2005,Net Receipt from Family Sustenance Activities,0.62,0.71,0.45,0.08999999999999997,-0.26
2006,Received as Gifts,1.96,2.01,1.38,0.04999999999999982,-0.63
2007,Imputed Rent,6.96,8.53,8.8,1.5699999999999994,0.27
2008,,,,,,
2009,Agusan Del Sur,,,,,
2010,Share to Family Income,100,100.0,100,,
2011,Wage/Salaries,44.61,46.25,46.95,1.6400000000000006,0.7
2012,Entrepreneurial Activities,28.98,23.31,25.58,-5.670000000000002,2.27
2013,Cash Receipts from Abroad,3.77,4.76,4.32,0.9899999999999998,-0.44
2014,Cash Receipts from Domestic Sources,6.71,7.76,8.02,1.0499999999999998,0.26
2015,Rentals Received,1.04,0.64,0.38,-0.4,-0.26
2016,Interest,0.17,0.09,0.09,-0.08000000000000002,0.01
2017,Pension,2.96,2.61,2.05,-0.3500000000000001,-0.56
2018,Dividends,0.36,0.12,0,-0.24,-0.12
2019,"Other Source of Income, NEC",0.03,0.09,0.21,0.06,0.11
2020,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.8,1.41,1,0.6099999999999999,-0.42
2021,Net Receipt from Family Sustenance Activities,2.84,3.6,2.84,0.7600000000000002,-0.76
2022,Received as Gifts,2.31,2.59,2.07,0.2799999999999998,-0.52
2023,Imputed Rent,5.4,6.76,6.48,1.3599999999999994,-0.28
2024,,,,,,
2025,Surigao Del Norte,,,,,
2026,Share to Family Income,100,100.0,100,,
2027,Wage/Salaries,50.6,54.56,50.38,3.960000000000001,-4.17
2028,Entrepreneurial Activities,21.62,17.99,24.8,-3.6300000000000026,6.8
2029,Cash Receipts from Abroad,5.4,4.82,3.56,-0.5800000000000001,-1.26
2030,Cash Receipts from Domestic Sources,5.61,5.72,6.73,0.10999999999999943,1.01
2031,Rentals Received,0.57,0.85,0.57,0.28,-0.28
2032,Interest,0.14,0.05,0.16,-0.09000000000000001,0.12
2033,Pension,3.58,2.59,2.54,-0.9900000000000002,-0.05
2034,Dividends,0,0.0,0.08,0,0.08
2035,"Other Source of Income, NEC",0.01,0.18,0.41,0.16999999999999998,0.22
2036,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",0.68,0.6,0.66,-0.08000000000000007,0.06
2037,Net Receipt from Family Sustenance Activities,1.36,1.29,1.26,-0.07000000000000006,-0.03
2038,Received as Gifts,1.78,1.56,2.03,-0.21999999999999997,0.47
2039,Imputed Rent,8.66,9.79,6.81,1.129999999999999,-2.98
2040,,,,,,
2041,Surigao Del Sur,,,,,
2042,Share to Family Income,100,100.0,100,,
2043,Wage/Salaries,42.62,50.0,50.11,7.380000000000003,0.11
2044,Entrepreneurial Activities,26.62,23.65,20.76,-2.9700000000000024,-2.89
2045,Cash Receipts from Abroad,7.78,4.09,4.99,-3.6900000000000004,0.9
2046,Cash Receipts from Domestic Sources,8.04,6.28,7.99,-1.759999999999999,1.71
2047,Rentals Received,0.44,0.31,0.39,-0.13,0.08
2048,Interest,0.06,0.02,0.05,-0.039999999999999994,0.03
2049,Pension,4.03,3.76,3.48,-0.27000000000000046,-0.28
2050,Dividends,0.02,0.09,0.01,0.06999999999999999,-0.08
2051,"Other Source of Income, NEC",0.03,0.16,0.03,0.13,-0.14
2052,"Net Share of Crops, Aquaculture Products or Livestock Raised by Other Households",1,0.73,0.61,-0.27,-0.12
2053,Net Receipt from Family Sustenance Activities,1.65,1.66,1.81,0.010000000000000009,0.15
2054,Received as Gifts,2.03,2.21,1.49,0.18000000000000016,-0.72
2055,Imputed Rent,5.7,7.02,8.26,1.3199999999999994,1.24
2056,,,,,,
2057,Dinagat Islands,,,,,
2058,Share to Family Income,100,100.0,100,,
2059,Wage/Salaries,42.73,40.63,49.6,-2.0999999999999943,8.97
2060,Entrepreneurial Activities,25.89,20.48,24.23,-5.41,3.74
