,"Table 7. Share to Total Family Expenditure, by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
1645,Health,3.12,3.64,3.16,0.52,-0.48
1646,Transport,6.62,5.54,7.65,-1.07,2.11
1647,Information and Communication,2.72,3.76,4.13,1.05,0.36
1648,"Recreation, Sport and Culture",0.69,0.4,0.64,-0.28,0.24
1649,Education,3.43,2.51,5.55,-0.92,3.04
1650,Hotels (Accommodation Services),0.03,0.01,0,-0.02,0
1651,Insurance and Financial Services,6.55,3.38,3.94,-3.17,0.56
1652,"Personal Care, Social Protection and Miscellaneous Goods and Services",2.56,5.09,3.58,2.53,-1.51
1653,Durable Furniture and Equipment,3.38,1.0,1.04,-2.37,0.04
1654,Special Family Occasion,2.08,1.46,2.21,-0.62,0.75
1655,Other Expenditures,0,1.98,2.07,1.98,0.09
1656,,,,,,
1657,Guimaras,,,,,
1658,Share to Family Expenditure,100,100.0,100,,
1659,Food and Non-Alcoholic Beverages,48.76,44.5,43.41,-4.26,-1.09
1660,    Food Consumed at Home,44.23,42.36,41.02,-1.87,-1.34
1661,    Food Regularly Consumed Outside the Home,4.53,2.12,2.38,-2.4,0.25
1662,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.01,0.01,0
1663,Alcoholic Beverages and Tobacco,3.12,1.69,1.59,-1.43,-0.1
1664,Clothing and Footwear,3.29,2.3,2.73,-0.99,0.43
1665,"Housing, Water, Electricity, Gas and Other Fuels",15.34,16.76,14.59,1.42,-2.17
1666,Furnishings and Routine Household Maintenance,2.46,1.87,2.55,-0.59,0.68
1667,Health,2.82,9.37,4.42,6.55,-4.96
1668,Transport,5.33,5.75,6.64,0.42,0.89
1669,Information and Communication,1.3,2.09,2.22,0.79,0.13
1670,"Recreation, Sport and Culture",0.67,0.26,1.04,-0.41,0.78
1671,Education,2.57,0.82,8.06,-1.75,7.24
1672,Hotels (Accommodation Services),0.08,0.04,0.12,-0.04,0.08
1673,Insurance and Financial Services,0,3.61,1.7,3.61,-1.91
1674,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.9,5.35,4.08,-0.55,-1.27
1675,Durable Furniture and Equipment,2.31,1.26,1.5,-1.05,0.24
1676,Special Family Occasion,4.57,2.48,4.07,-2.09,1.6
1677,Other Expenditures,1.47,1.86,1.27,0.39,-0.59
1678,,,,,,
1679,NIR - NEGROS ISLAND REGION,,,,,
1680,Share to Family Expenditure,100,100.0,100,,
1681,Food and Non-Alcoholic Beverages,43.11,46.93,44.22,3.82,-2.71
1682,    Food Consumed at Home,36.65,43.38,38.86,6.74,-4.52
1683,    Food Regularly Consumed Outside the Home,6.46,3.54,5.36,-2.92,1.82
1684,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1685,Alcoholic Beverages and Tobacco,1.92,1.71,1.52,-0.22,-0.18
1686,Clothing and Footwear,3.09,1.86,2.15,-1.23,0.3
1687,"Housing, Water, Electricity, Gas and Other Fuels",19.69,20.86,19.5,1.17,-1.36
1688,Furnishings and Routine Household Maintenance,2.69,2.1,2.57,-0.6,0.47
1689,Health,2.97,3.16,2.49,0.19,-0.67
1690,Transport,6.27,5.59,6.97,-0.68,1.38
1691,Information and Communication,1.9,2.98,2.89,1.08,-0.08
1692,"Recreation, Sport and Culture",0.78,0.48,0.82,-0.29,0.34
1693,Education,2.58,1.29,3.67,-1.29,2.38
1694,Hotels (Accommodation Services),0.11,0.02,0.08,-0.09,0.07
1695,Insurance and Financial Services,0,2.56,2.1,2.56,-0.46
1696,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.09,4.57,3.55,-1.52,-1.02
1697,Durable Furniture and Equipment,3.55,2.22,2.99,-1.34,0.77
1698,Special Family Occasion,3.33,2.5,3.05,-0.83,0.56
1699,Other Expenditures,1.91,1.19,1.42,-0.73,0.24
1700,,,,,,
1701,Negros Occidental  (Excluding City of Bacolod),,,,,
1702,Share to Family Expenditure,100,100.0,100,,
1703,Food and Non-Alcoholic Beverages,47.41,51.89,46.22,4.49,-5.67
1704,    Food Consumed at Home,40.41,47.94,40.83,7.54,-7.11
1705,    Food Regularly Consumed Outside the Home,7,3.95,5.39,-3.05,1.44
1706,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1707,Alcoholic Beverages and Tobacco,2.46,2.17,1.87,-0.29,-0.3
1708,Clothing and Footwear,2.99,2.04,2.27,-0.95,0.23
1709,"Housing, Water, Electricity, Gas and Other Fuels",16.45,17.88,17.49,1.43,-0.39
1710,Furnishings and Routine Household Maintenance,2.53,2.01,2.42,-0.52,0.41
1711,Health,2.84,2.43,2.29,-0.42,-0.13
1712,Transport,6.07,5.23,6.77,-0.84,1.55
1713,Information and Communication,1.64,2.6,2.61,0.96,0.01
1714,"Recreation, Sport and Culture",0.86,0.5,0.86,-0.36,0.37
1715,Education,2.07,1.2,3.17,-0.87,1.97
1716,Hotels (Accommodation Services),0.12,0.02,0.12,-0.11,0.1
1717,Insurance and Financial Services,0,2.11,2.2,2.11,0.09
1718,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.03,4.71,3.78,-1.32,-0.94
1719,Durable Furniture and Equipment,3.44,1.45,2.99,-1.99,1.55
1720,Special Family Occasion,3.26,2.5,3.24,-0.76,0.74
1721,Other Expenditures,1.83,1.27,1.68,-0.56,0.42
1722,,,,,,
1723,    City of Bacolod,,,,,
1724,Share to Family Expenditure,100,100.0,100,,
1725,Food and Non-Alcoholic Beverages,37.29,40.21,42.42,2.93,2.21
1726,    Food Consumed at Home,29.43,34.43,34.82,5,0.39
1727,    Food Regularly Consumed Outside the Home,7.86,5.77,7.59,-2.09,1.82
1728,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,0
1729,Alcoholic Beverages and Tobacco,1.45,1.25,1.48,-0.2,0.23
1730,Clothing and Footwear,3.26,1.74,2.17,-1.51,0.43
1731,"Housing, Water, Electricity, Gas and Other Fuels",21.78,26.43,20.88,4.65,-5.55
1732,Furnishings and Routine Household Maintenance,3.08,2.58,2.64,-0.5,0.07
1733,Health,3.45,2.79,2.25,-0.66,-0.54
1734,Transport,7.23,5.51,7.02,-1.71,1.51
1735,Information and Communication,2.81,3.76,3.7,0.95,-0.06
1736,"Recreation, Sport and Culture",0.71,0.6,0.74,-0.1,0.14
1737,Education,3.57,2.22,3.25,-1.35,1.03
1738,Hotels (Accommodation Services),0.04,0.02,0.01,-0.02,-0.01
1739,Insurance and Financial Services,0,3.58,2.83,3.58,-0.75
1740,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.4,4.03,3.61,-2.37,-0.42
1741,Durable Furniture and Equipment,2.46,1.87,3.3,-0.59,1.43
1742,Special Family Occasion,3.08,2.15,2.64,-0.93,0.48
1743,Other Expenditures,3.41,1.24,1.05,-2.17,-0.19
1744,,,,,,
1745,Negros Oriental,,,,,
1746,Share to Family Expenditure,100,100.0,100,,
1747,Food and Non-Alcoholic Beverages,39.34,42.31,41.37,2.97,-0.94
1748,    Food Consumed at Home,34.74,40.92,37.4,6.18,-3.52
1749,    Food Regularly Consumed Outside the Home,4.6,1.39,3.97,-3.21,2.59
1750,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1751,Alcoholic Beverages and Tobacco,1.26,1.2,0.79,-0.05,-0.42
1752,Clothing and Footwear,3.04,1.51,1.85,-1.53,0.33
1753,"Housing, Water, Electricity, Gas and Other Fuels",24.53,22.86,23.18,-1.67,0.32
1754,Furnishings and Routine Household Maintenance,2.73,1.92,2.78,-0.81,0.86
1755,Health,2.87,4.72,2.99,1.85,-1.73
1756,Transport,6.03,6.33,7.44,0.3,1.1
1757,Information and Communication,1.81,3.23,2.95,1.42,-0.27
1758,"Recreation, Sport and Culture",0.66,0.34,0.79,-0.32,0.45
1759,Education,2.91,0.84,5.17,-2.07,4.33
1760,Hotels (Accommodation Services),0.13,0.0,0.07,-0.13,0.06
1761,Insurance and Financial Services,0,2.71,1.41,2.71,-1.3
1762,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.91,4.62,2.95,-1.29,-1.67
1763,Durable Furniture and Equipment,4.39,3.99,2.5,-0.4,-1.49
1764,Special Family Occasion,3.39,2.44,2.68,-0.95,0.24
1765,Other Expenditures,1.01,0.97,1.09,-0.03,0.12
1766,,,,,,
1767,Siquijor,,,,,
1768,Share to Family Expenditure,100,100.0,100,,
1769,Food and Non-Alcoholic Beverages,38.19,43.11,40.22,4.93,-2.89
1770,    Food Consumed at Home,34.52,42.36,38.33,7.84,-4.03
1771,    Food Regularly Consumed Outside the Home,3.66,0.75,1.89,-2.91,1.14
1772,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1773,Alcoholic Beverages and Tobacco,1.53,0.97,1.35,-0.56,0.38
1774,Clothing and Footwear,4.67,2.6,2.39,-2.07,-0.21
1775,"Housing, Water, Electricity, Gas and Other Fuels",19.67,19.58,18.13,-0.09,-1.45
1776,Furnishings and Routine Household Maintenance,2.74,2.23,3.08,-0.52,0.85
1777,Health,2.85,4.86,3.78,2.02,-1.08
1778,Transport,5.59,5.89,6.26,0.3,0.37
1779,Information and Communication,1.22,2.28,2.76,1.06,0.48
1780,"Recreation, Sport and Culture",0.89,0.69,0.74,-0.19,0.05
1781,Education,1.91,0.81,3.25,-1.1,2.44
1782,Hotels (Accommodation Services),0.19,0.06,0.1,-0.13,0.04
1783,Insurance and Financial Services,0,2.56,1.42,2.56,-1.14
1784,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.72,5.19,3.76,-1.54,-1.43
1785,Durable Furniture and Equipment,5.82,2.17,5.43,-3.65,3.26
1786,Special Family Occasion,6.39,5.62,5.72,-0.77,0.09
1787,Other Expenditures,1.62,1.38,1.62,-0.24,0.23
1788,,,,,,
1789,REGION VII - CENTRAL VISAYAS,,,,,
1790,Share to Family Expenditure,100,100.0,100,,
1791,Food and Non-Alcoholic Beverages,43.14,42.66,41.93,-0.47,-0.74
1792,    Food Consumed at Home,33.97,39.42,37.39,5.46,-2.03
1793,    Food Regularly Consumed Outside the Home,9.17,3.22,4.53,-5.95,1.3
1794,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.01,0.02,-0.01
1795,Alcoholic Beverages and Tobacco,1.25,1.44,1.2,0.19,-0.23
1796,Clothing and Footwear,2.25,1.3,1.71,-0.95,0.4
1797,"Housing, Water, Electricity, Gas and Other Fuels",22.41,27.13,24,4.72,-3.13
1798,Furnishings and Routine Household Maintenance,2.41,1.81,2.48,-0.59,0.66
1799,Health,2.86,2.76,2.53,-0.1,-0.23
1800,Transport,6.59,5.71,7.44,-0.88,1.73
1801,Information and Communication,2.02,3.12,3.38,1.1,0.26
1802,"Recreation, Sport and Culture",0.78,0.35,0.66,-0.43,0.31
1803,Education,2.52,1.79,4.09,-0.73,2.29
1804,Hotels (Accommodation Services),0.11,0.05,0.03,-0.06,-0.02
1805,Insurance and Financial Services,0,2.67,2.59,2.67,-0.07
1806,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.86,4.24,3.61,-1.62,-0.63
1807,Durable Furniture and Equipment,3.46,1.75,1.23,-1.72,-0.51
1808,Special Family Occasion,3.22,2.1,2.25,-1.12,0.15
1809,Other Expenditures,1.12,1.13,0.88,0,-0.25
1810,,,,,,
1811,Bohol,,,,,
1812,Share to Family Expenditure,100,100.0,100,,
1813,Food and Non-Alcoholic Beverages,38.15,42.69,40.56,4.54,-2.13
1814,    Food Consumed at Home,34.16,41.71,38.64,7.55,-3.07
1815,    Food Regularly Consumed Outside the Home,3.98,0.96,1.89,-3.02,0.93
1816,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.03,0.02,0.01
1817,Alcoholic Beverages and Tobacco,0.82,1.37,0.97,0.54,-0.39
1818,Clothing and Footwear,2.59,1.58,1.57,-1.01,-0.01
1819,"Housing, Water, Electricity, Gas and Other Fuels",21.34,23.18,22.06,1.84,-1.13
1820,Furnishings and Routine Household Maintenance,2.73,2.22,2.59,-0.51,0.37
1821,Health,3.16,3.0,3.56,-0.17,0.56
1822,Transport,6.23,6.45,6.33,0.21,-0.12
1823,Information and Communication,1.6,2.8,2.68,1.2,-0.12
1824,"Recreation, Sport and Culture",1.1,0.41,0.75,-0.68,0.34
1825,Education,3.14,1.97,5.75,-1.17,3.78
1826,Hotels (Accommodation Services),0.34,0.03,0.07,-0.3,0.04
1827,Insurance and Financial Services,0,3.12,2.11,3.12,-1.01
1828,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.36,4.23,2.98,-1.13,-1.24
1829,Durable Furniture and Equipment,7.35,2.54,2.75,-4.81,0.21
1830,Special Family Occasion,4.84,2.93,3.9,-1.91,0.97
1831,Other Expenditures,1.25,1.48,1.34,0.24,-0.14
1832,,,,,,
1833,"Cebu (Excluding City of Cebu, City of Lapu-Lapu, City of Mandaue)",,,,,
1834,Share to Family Expenditure,100,100.0,100,,
1835,Food and Non-Alcoholic Beverages,46.07,44.89,43.84,-1.19,-1.04
1836,    Food Consumed at Home,36.57,41.62,39.65,5.05,-1.96
1837,    Food Regularly Consumed Outside the Home,9.5,3.25,4.19,-6.25,0.94
1838,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0,0.02,-0.02
1839,Alcoholic Beverages and Tobacco,1.4,1.49,1.33,0.09,-0.16
1840,Clothing and Footwear,2.24,1.37,1.83,-0.86,0.45
1841,"Housing, Water, Electricity, Gas and Other Fuels",20.79,24.83,22.54,4.04,-2.29
1842,Furnishings and Routine Household Maintenance,2.44,1.98,2.33,-0.45,0.35
1843,Health,2.71,2.75,2,0.03,-0.75
1844,Transport,7.14,5.53,8.16,-1.61,2.63
1845,Information and Communication,1.86,2.81,3.42,0.94,0.61
1846,"Recreation, Sport and Culture",0.7,0.34,0.64,-0.36,0.3
1847,Education,1.91,1.67,3.88,-0.23,2.2
1848,Hotels (Accommodation Services),0.09,0.08,0.01,-0.01,-0.07
1849,Insurance and Financial Services,0,2.21,2.77,2.21,0.56
1850,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.92,4.76,3.85,-1.16,-0.91
1851,Durable Furniture and Equipment,2.59,1.89,0.93,-0.7,-0.95
1852,Special Family Occasion,3.26,2.27,1.87,-0.99,-0.4
1853,Other Expenditures,0.87,1.13,0.59,0.26,-0.54
1854,,,,,,
1855,    City of Cebu,,,,,
1856,Share to Family Expenditure,100,100.0,100,,
1857,Food and Non-Alcoholic Beverages,41.63,39.95,42.95,-1.68,3
1858,    Food Consumed at Home,29.76,36.13,35.09,6.37,-1.04
1859,    Food Regularly Consumed Outside the Home,11.86,3.77,7.86,-8.09,4.08
1860,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.05,0,0.05,-0.04
1861,Alcoholic Beverages and Tobacco,1.3,1.37,1.18,0.07,-0.19
1862,Clothing and Footwear,2.18,1.13,1.38,-1.04,0.25
1863,"Housing, Water, Electricity, Gas and Other Fuels",24.91,33.51,26.76,8.6,-6.76
1864,Furnishings and Routine Household Maintenance,2.26,1.36,2.74,-0.89,1.38
1865,Health,2.93,2.92,2.71,-0.01,-0.21
1866,Transport,5.87,4.77,6.89,-1.1,2.12
1867,Information and Communication,2.5,3.58,3.64,1.08,0.06
1868,"Recreation, Sport and Culture",0.7,0.26,0.51,-0.43,0.25
1869,Education,2.95,2.06,2.95,-0.89,0.89
1870,Hotels (Accommodation Services),0.03,0.01,0.02,-0.02,0.01
1871,Insurance and Financial Services,0,2.76,1.9,2.76,-0.87
1872,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.79,3.33,3.5,-2.46,0.16
1873,Durable Furniture and Equipment,2.8,0.9,0.69,-1.9,-0.21
1874,Special Family Occasion,2.43,1.26,1.5,-1.17,0.24
1875,Other Expenditures,1.73,0.82,0.69,-0.91,-0.13
1876,,,,,,
1877,    City of Lapu-lapu,,,,,
1878,Share to Family Expenditure,100,100.0,100,,
1879,Food and Non-Alcoholic Beverages,43.47,39.44,38.27,-4.03,-1.17
1880,    Food Consumed at Home,32.64,35.15,33.12,2.51,-2.03
1881,    Food Regularly Consumed Outside the Home,10.83,4.29,5.15,-6.54,0.86
1882,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1883,Alcoholic Beverages and Tobacco,1.17,1.46,1.07,0.28,-0.39
1884,Clothing and Footwear,1.96,1.11,1.82,-0.85,0.71
1885,"Housing, Water, Electricity, Gas and Other Fuels",24.29,30.27,27.68,5.98,-2.6
1886,Furnishings and Routine Household Maintenance,1.95,1.65,2.4,-0.3,0.76
1887,Health,2.33,2.31,2.52,-0.01,0.2
1888,Transport,6.66,6.61,7.33,-0.05,0.72
1889,Information and Communication,2.43,3.79,3.61,1.36,-0.18
1890,"Recreation, Sport and Culture",0.86,0.4,0.64,-0.46,0.24
1891,Education,2.98,1.81,3.79,-1.18,1.98
1892,Hotels (Accommodation Services),0.01,0.04,0.01,0.02,-0.02
1893,Insurance and Financial Services,0,3.11,2.97,3.11,-0.14
1894,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.66,3.7,3.6,-2.96,-0.1
1895,Durable Furniture and Equipment,1.82,1.25,0.72,-0.57,-0.53
1896,Special Family Occasion,2.32,1.97,2.57,-0.35,0.6
1897,Other Expenditures,1.09,1.08,1.01,-0.01,-0.07
1898,,,,,,
1899,    City of Mandaue,,,,,
1900,Share to Family Expenditure,100,100.0,100,,
1901,Food and Non-Alcoholic Beverages,42.58,41.47,37.65,-1.11,-3.82
1902,    Food Consumed at Home,31.21,36.26,33.41,5.05,-2.85
1903,    Food Regularly Consumed Outside the Home,11.38,5.21,4.22,-6.16,-0.99
1904,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0.02,0,0.02
1905,Alcoholic Beverages and Tobacco,1.37,1.41,1.2,0.04,-0.21
1906,Clothing and Footwear,2.04,1.02,1.87,-1.02,0.85
1907,"Housing, Water, Electricity, Gas and Other Fuels",25.5,28.96,25.27,3.46,-3.69
1908,Furnishings and Routine Household Maintenance,2.33,1.32,2.55,-1.02,1.23
1909,Health,3.38,2.58,2.85,-0.8,0.26
1910,Transport,6.11,5.94,7.21,-0.17,1.27
1911,Information and Communication,2.2,3.5,3.74,1.31,0.24
1912,"Recreation, Sport and Culture",0.54,0.35,0.86,-0.19,0.52
1913,Education,2.8,1.4,4.39,-1.4,2.99
1914,Hotels (Accommodation Services),0.02,0.05,0.04,0.03,-0.01
1915,Insurance and Financial Services,0,3.25,3.5,3.25,0.25
1916,"Personal Care, Social Protection and Miscellaneous Goods and Services",5.95,4.3,3.87,-1.65,-0.43
1917,Durable Furniture and Equipment,2.35,1.85,1.41,-0.5,-0.45
1918,Special Family Occasion,2.05,1.48,2.01,-0.57,0.52
1919,Other Expenditures,0.77,1.12,1.6,0.35,0.48
1920,,,,,,
1921,REGION VIII - EASTERN VISAYAS,,,,,
1922,Share to Family Expenditure,100,100.0,100,,
1923,Food and Non-Alcoholic Beverages,45.82,46.33,44.47,0.51,-1.86
1924,    Food Consumed at Home,41.53,44.37,42.45,2.85,-1.92
1925,    Food Regularly Consumed Outside the Home,4.29,1.94,2,-2.35,0.06
1926,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.02,0.02,0
1927,Alcoholic Beverages and Tobacco,1.65,1.73,1.5,0.09,-0.24
1928,Clothing and Footwear,2.64,1.74,1.79,-0.9,0.04
1929,"Housing, Water, Electricity, Gas and Other Fuels",17.53,21.26,20.18,3.73,-1.08
1930,Furnishings and Routine Household Maintenance,2.56,2.03,2.71,-0.53,0.68
1931,Health,2.72,3.34,2.64,0.62,-0.7
1932,Transport,5.34,5.14,5.9,-0.2,0.76
1933,Information and Communication,1.42,2.78,2.65,1.36,-0.14
1934,"Recreation, Sport and Culture",1.06,0.35,0.79,-0.71,0.44
1935,Education,2.3,0.95,3.64,-1.35,2.69
1936,Hotels (Accommodation Services),0.24,0.02,0.12,-0.22,0.11
1937,Insurance and Financial Services,0,2.88,2.72,2.88,-0.16
1938,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.66,4.43,3.98,-2.23,-0.44
1939,Durable Furniture and Equipment,3.77,2.53,1.54,-1.23,-1
1940,Special Family Occasion,4.51,2.77,3.91,-1.74,1.13
1941,Other Expenditures,1.79,1.69,1.47,-0.09,-0.23
1942,,,,,,
1943,Eastern Samar,,,,,
1944,Share to Family Expenditure,100,100.0,100,,
1945,Food and Non-Alcoholic Beverages,46.57,45.55,46.76,-1.03,1.21
1946,    Food Consumed at Home,43.33,43.92,44.53,0.59,0.61
1947,    Food Regularly Consumed Outside the Home,3.24,1.62,2.21,-1.62,0.59
1948,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0.02,0.01,0.02
1949,Alcoholic Beverages and Tobacco,1.56,1.32,1.13,-0.24,-0.19
1950,Clothing and Footwear,2.93,1.95,1.66,-0.99,-0.29
1951,"Housing, Water, Electricity, Gas and Other Fuels",17.43,20.42,19.01,3,-1.42
1952,Furnishings and Routine Household Maintenance,2.49,2.25,2.4,-0.24,0.15
1953,Health,2.48,2.55,2.32,0.07,-0.23
1954,Transport,4.97,4.49,5.22,-0.48,0.73
1955,Information and Communication,1.07,3.13,2.64,2.06,-0.49
1956,"Recreation, Sport and Culture",1.2,0.31,0.61,-0.89,0.3
1957,Education,2.2,0.44,3.31,-1.76,2.87
1958,Hotels (Accommodation Services),0.33,0.01,0.1,-0.33,0.09
1959,Insurance and Financial Services,0,3.43,2.67,3.43,-0.76
1960,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.32,4.61,3.72,-1.71,-0.89
1961,Durable Furniture and Equipment,2.9,3.39,1.77,0.48,-1.61
1962,Special Family Occasion,5.53,4.67,4.85,-0.86,0.17
1963,Other Expenditures,2,1.48,1.85,-0.51,0.37
1964,,,,,,
1965,Leyte (Excluding City of Tacloban),,,,,
1966,Share to Family Expenditure,100,100.0,100,,
1967,Food and Non-Alcoholic Beverages,45.47,45.41,43.35,-0.06,-2.06
1968,    Food Consumed at Home,41.03,43.53,41.74,2.5,-1.79
1969,    Food Regularly Consumed Outside the Home,4.44,1.86,1.6,-2.58,-0.26
1970,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.01,0.02,-0.01
1971,Alcoholic Beverages and Tobacco,1.65,1.73,1.63,0.08,-0.1
1972,Clothing and Footwear,2.33,1.55,1.87,-0.78,0.32
1973,"Housing, Water, Electricity, Gas and Other Fuels",17.75,22.58,20.38,4.83,-2.21
1974,Furnishings and Routine Household Maintenance,2.56,1.9,2.95,-0.65,1.05
1975,Health,3.13,4.2,2.55,1.07,-1.64
1976,Transport,6.04,5.54,6.55,-0.5,1
1977,Information and Communication,1.56,2.62,2.7,1.06,0.08
1978,"Recreation, Sport and Culture",1,0.4,0.89,-0.6,0.49
1979,Education,2.62,1.12,4.3,-1.5,3.17
1980,Hotels (Accommodation Services),0.27,0.01,0.09,-0.26,0.07
1981,Insurance and Financial Services,0,2.37,2.91,2.37,0.54
1982,"Personal Care, Social Protection and Miscellaneous Goods and Services",6.23,4.16,4.05,-2.06,-0.12
1983,Durable Furniture and Equipment,3.69,2.68,1.15,-1.01,-1.53
1984,Special Family Occasion,4.08,2.47,3.52,-1.62,1.05
1985,Other Expenditures,1.62,1.25,1.12,-0.36,-0.14
1986,,,,,,
1987,City of Tacloban,,,,,
1988,Share to Family Expenditure,100,100.0,100,,
1989,Food and Non-Alcoholic Beverages,37.94,40.75,37.13,2.81,-3.62
1990,    Food Consumed at Home,32.63,37.43,34.16,4.81,-3.27
1991,    Food Regularly Consumed Outside the Home,5.32,3.32,2.97,-2,-0.35
1992,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.0,0,0,0
1993,Alcoholic Beverages and Tobacco,1.41,1.48,1.29,0.07,-0.19
1994,Clothing and Footwear,2.55,1.56,1.66,-0.99,0.1
1995,"Housing, Water, Electricity, Gas and Other Fuels",21.43,25.21,26.58,3.79,1.37
1996,Furnishings and Routine Household Maintenance,2.88,1.97,2.6,-0.91,0.63
1997,Health,2.65,3.47,2.19,0.83,-1.28
1998,Transport,6.57,6.0,7.21,-0.57,1.21
1999,Information and Communication,2.14,3.4,3.36,1.26,-0.04
2000,"Recreation, Sport and Culture",0.88,0.39,0.69,-0.48,0.29
2001,Education,2.95,1.38,3.48,-1.57,2.11
2002,Hotels (Accommodation Services),0.04,0.02,0.02,-0.03,0
2003,Insurance and Financial Services,0,4.6,4.36,4.6,-0.23
2004,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.41,4.17,3.48,-3.24,-0.69
2005,Durable Furniture and Equipment,5.43,1.94,1.8,-3.49,-0.14
2006,Special Family Occasion,3.28,1.94,2.24,-1.34,0.3
2007,Other Expenditures,2.45,1.71,1.89,-0.73,0.18
2008,,,,,,
2009,Northern Samar,,,,,
2010,Share to Family Expenditure,100,100.0,100,,
2011,Food and Non-Alcoholic Beverages,47.47,49.27,46.44,1.8,-2.83
2012,    Food Consumed at Home,44.05,47.22,44.21,3.17,-3.02
2013,    Food Regularly Consumed Outside the Home,3.42,2.03,2.23,-1.39,0.2
2014,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.02,0.01,0.02,-0.01
2015,Alcoholic Beverages and Tobacco,1.69,1.6,1.36,-0.08,-0.24
2016,Clothing and Footwear,2.64,1.75,1.7,-0.89,-0.05
2017,"Housing, Water, Electricity, Gas and Other Fuels",18.58,21.65,23.04,3.07,1.39
2018,Furnishings and Routine Household Maintenance,2.36,1.95,1.98,-0.41,0.03
2019,Health,1.67,1.82,1.67,0.15,-0.15
2020,Transport,4.2,4.29,4.63,0.09,0.34
2021,Information and Communication,1.06,2.29,2.24,1.23,-0.05
2022,"Recreation, Sport and Culture",1.04,0.2,0.82,-0.83,0.61
2023,Education,1.99,0.6,1.5,-1.39,0.9
2024,Hotels (Accommodation Services),0.15,0.03,0.25,-0.13,0.22
2025,Insurance and Financial Services,0,3.09,2.49,3.09,-0.6
2026,"Personal Care, Social Protection and Miscellaneous Goods and Services",7.3,5.11,3.96,-2.19,-1.15
2027,Durable Furniture and Equipment,2.63,1.58,0.92,-1.05,-0.66
2028,Special Family Occasion,5.53,2.98,5.64,-2.54,2.66
2029,Other Expenditures,1.71,1.78,1.37,0.07,-0.41
2030,,,,,,
2031,Samar (Western Samar),,,,,
2032,Share to Family Expenditure,100,100.0,100,,
2033,Food and Non-Alcoholic Beverages,49.33,50.5,44.15,1.18,-6.35
2034,    Food Consumed at Home,45.28,49.16,41.29,3.87,-7.86
2035,    Food Regularly Consumed Outside the Home,4.04,1.33,2.85,-2.71,1.52
2036,"    Service for Processing Primary Goods for Food and
    Non- alcoholic Beverages",0,0.01,0,0.01,-0.01
2037,Alcoholic Beverages and Tobacco,1.99,2.43,1.1,0.44,-1.33
2038,Clothing and Footwear,2.98,2.17,1.59,-0.81,-0.58
2039,"Housing, Water, Electricity, Gas and Other Fuels",15.95,18.23,16.67,2.29,-1.57
2040,Furnishings and Routine Household Maintenance,2.38,2.06,2.83,-0.32,0.77
2041,Health,2,2.34,4.93,0.34,2.58
2042,Transport,4.28,4.59,5.74,0.31,1.15
2043,Information and Communication,1.19,2.93,2.81,1.74,-0.12
2044,"Recreation, Sport and Culture",1.03,0.38,0.78,-0.65,0.4
2045,Education,1.83,0.92,4.75,-0.9,3.83
2046,Hotels (Accommodation Services),0.17,0.01,0.22,-0.15,0.2
