region_province_huc_by_sources_of_income,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Cash Receipts From Domestic Sources,10.14,8.06,8.91,-2.08,0.85
Rentals Received,0.2,0.71,0.52,0.51,-0.19
Interest,0.06,0.26,0.16,0.2,-0.1
Pension,1.04,2.54,1.61,1.5,-0.92
Dividends,0.02,0.14,0.06,0.12,-0.08
"Other Source Of Income, Nec",0.02,0.14,0.07,0.12,-0.07
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.15,1.45,0.8,0.3,-0.65
Net Receipt From Family Sustenance Activities,3.31,3.67,3.05,0.36,-0.62
Received As Gifts,2.66,2.78,2.35,0.12,-0.44
Imputed Rent,5.67,7.99,7.16,2.32,-0.83
Region XII - Soccsksargen1,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,41.57,46.45,45.3,4.88,-1.15
Entrepreneurial Activities,31.16,24.1,28.71,-7.06,4.61
Cash Receipts From Abroad,7.92,6.06,7.03,-1.86,0.96
Cash Receipts From Domestic Sources,4.73,5.18,4.82,0.45,-0.37
Rentals Received,0.65,0.5,0.49,-0.15,-0.01
Interest,0.1,0.17,0.09,0.07,-0.07
Pension,2.66,2.88,2.09,0.22,-0.79
Dividends,0.27,0.23,0.14,-0.04,-0.09
"Other Source Of Income, Nec",0.04,0.28,0.2,0.24,-0.08
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.86,1.26,0.87,0.4,-0.39
Net Receipt From Family Sustenance Activities,2.4,2.76,1.75,0.36,-1.01
Received As Gifts,2.29,3.19,2.37,0.9,-0.82
Imputed Rent,5.34,6.93,6.15,1.59,-0.78
Cotabato (north Cotabato),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,32.8,43.21,39.65,10.41,-3.56
Entrepreneurial Activities,40.31,25.53,32.98,-14.78,7.45
Cash Receipts From Abroad,7.23,6.46,7.41,-0.77,0.95
Cash Receipts From Domestic Sources,4.46,5.56,5.39,1.1,-0.17
Rentals Received,0.59,0.3,0.4,-0.29,0.09
Interest,0.11,0.37,0.11,0.26,-0.26
Pension,3.5,2.9,1.82,-0.6,-1.08
Dividends,0.11,0.0,0.03,-0.11,0.03
"Other Source Of Income, Nec",0.05,0.35,0.5,0.3,0.16
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.88,1.67,1.29,0.79,-0.38
Net Receipt From Family Sustenance Activities,3.23,3.67,1.95,0.44,-1.72
Received As Gifts,1.93,3.1,2.56,1.17,-0.54
Imputed Rent,4.79,6.87,5.9,2.08,-0.97
South Cotabato (excluding City Of General Santos),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.61,47.48,54.85,3.87,7.37
Entrepreneurial Activities,27.33,21.9,19.19,-5.43,-2.71
Cash Receipts From Abroad,9.29,6.69,6.8,-2.6,0.11
Cash Receipts From Domestic Sources,5.0,5.52,4.78,0.52,-0.74
Rentals Received,1.4,0.89,0.6,-0.51,-0.29
Interest,0.13,0.04,0.07,-0.09,0.03
Pension,2.32,3.83,2.61,1.51,-1.22
Dividends,0.23,0.05,0.31,-0.18,0.26
"Other Source Of Income, Nec",0.01,0.27,0.04,0.26,-0.23
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.91,1.35,0.79,0.44,-0.57
Net Receipt From Family Sustenance Activities,1.99,2.45,1.61,0.46,-0.84
Received As Gifts,2.88,2.68,2.18,-0.2,-0.5
Imputed Rent,4.91,6.85,6.17,1.94,-0.68
City Of General Santos (dadiangas),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,53.39,53.77,53.77,0.38,0.01
Entrepreneurial Activities,21.06,21.54,19.55,0.48,-1.98
Cash Receipts From Abroad,8.07,5.56,8.54,-2.51,2.98
Cash Receipts From Domestic Sources,3.67,3.68,3.46,0.01,-0.22
Rentals Received,0.44,0.77,0.42,0.33,-0.35
Interest,0.08,0.07,0.06,-0.01,-0.01
Pension,2.36,2.65,3.41,0.29,0.76
Dividends,0.55,1.06,0.27,0.51,-0.78
"Other Source Of Income, Nec",0.05,0.2,0.05,0.15,-0.15
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.53,0.14,0.29,-0.39,0.15
Net Receipt From Family Sustenance Activities,0.56,0.46,0.34,-0.1,-0.12
Received As Gifts,2.47,2.72,2.05,0.25,-0.68
Imputed Rent,6.78,7.37,7.79,0.59,0.42
Sultan Kudarat,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.76,44.76,36.07,2.0,-8.69
Entrepreneurial Activities,29.26,23.74,40.47,-5.52,16.73
Cash Receipts From Abroad,8.62,6.18,5.95,-2.44,-0.22
Cash Receipts From Domestic Sources,5.65,5.82,4.67,0.17,-1.15
Rentals Received,0.12,0.2,0.75,0.08,0.55
Interest,0.03,0.06,0.09,0.03,0.03
Pension,2.38,2.5,1.43,0.12,-1.06
Dividends,0.01,0.02,0.07,0.01,0.06
"Other Source Of Income, Nec",0.03,0.15,0.1,0.12,-0.06
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.07,1.68,0.89,0.61,-0.79
Net Receipt From Family Sustenance Activities,2.87,3.82,2.53,0.95,-1.3
Received As Gifts,1.76,4.21,2.12,2.45,-2.09
Imputed Rent,5.43,6.86,4.85,1.43,-2.0
Sarangani,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,46.52,42.69,45.8,-3.83,3.1
Entrepreneurial Activities,27.64,30.76,29.35,3.12,-1.41
Cash Receipts From Abroad,5.19,3.83,5.39,-1.36,1.56
Cash Receipts From Domestic Sources,5.63,5.1,5.73,-0.53,0.63
Rentals Received,0.15,0.14,0.22,-0.01,0.08
Interest,0.16,0.14,0.14,-0.02,0.0
Pension,1.22,1.48,0.63,0.26,-0.85
Dividends,1.0,0.15,0.01,-0.85,-0.15
"Other Source Of Income, Nec",0.06,0.47,0.04,0.41,-0.43
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.92,1.17,0.62,0.25,-0.56
Net Receipt From Family Sustenance Activities,3.02,3.4,2.48,0.38,-0.91
Received As Gifts,2.74,4.09,3.2,1.35,-0.9
Imputed Rent,5.75,6.57,6.41,0.82,-0.16
Caraga,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,46.74,50.17,50.46,3.43,0.29
Entrepreneurial Activities,24.41,20.23,21.58,-4.18,1.35
Cash Receipts From Abroad,6.49,5.67,5.45,-0.82,-0.23
Cash Receipts From Domestic Sources,6.63,6.8,6.85,0.17,0.05
Rentals Received,0.67,0.59,0.48,-0.08,-0.11
Interest,0.1,0.05,0.1,-0.05,0.05
Pension,3.65,3.49,3.18,-0.16,-0.32
Dividends,0.11,0.08,0.16,-0.03,0.08
"Other Source Of Income, Nec",0.02,0.12,0.18,0.1,0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.75,0.79,0.63,0.04,-0.16
Net Receipt From Family Sustenance Activities,1.76,1.96,1.59,0.2,-0.36
Received As Gifts,2.14,2.36,1.87,0.22,-0.49
Imputed Rent,6.53,7.69,7.47,1.16,-0.22
Agusan Del Norte (excluding City Of Butuan),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,47.35,46.04,50.82,-1.31,4.79
Entrepreneurial Activities,20.23,21.25,17.93,1.02,-3.33
Cash Receipts From Abroad,9.57,7.76,8.44,-1.81,0.68
Cash Receipts From Domestic Sources,7.4,7.83,7.14,0.43,-0.68
Rentals Received,0.65,0.5,0.41,-0.15,-0.09
Interest,0.07,0.01,0.04,-0.06,0.02
Pension,3.53,4.58,3.52,1.05,-1.07
Dividends,0.09,0.07,0.1,-0.02,0.03
"Other Source Of Income, Nec",0.0,0.12,0.1,0.12,-0.02
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.83,0.52,0.44,-0.31,-0.08
Net Receipt From Family Sustenance Activities,1.53,1.63,1.4,0.1,-0.24
Received As Gifts,1.97,2.83,2.29,0.86,-0.53
Imputed Rent,6.76,6.86,7.37,0.1,0.51
City Of Butuan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,51.83,56.31,55.01,4.48,-1.3
Entrepreneurial Activities,20.12,13.28,15.5,-6.84,2.22
Cash Receipts From Abroad,8.75,8.39,8.12,-0.36,-0.27
Cash Receipts From Domestic Sources,4.39,5.04,3.8,0.65,-1.23
Rentals Received,0.6,0.75,0.64,0.15,-0.1
Interest,0.04,0.06,0.04,0.02,-0.01
Pension,4.37,4.52,5.18,0.15,0.67
Dividends,0.01,0.12,0.7,0.11,0.58
"Other Source Of Income, Nec",0.02,0.02,0.01,0.0,-0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.32,0.28,0.36,-0.04,0.08
Net Receipt From Family Sustenance Activities,0.62,0.71,0.45,0.09,-0.26
Received As Gifts,1.96,2.01,1.38,0.05,-0.63
Imputed Rent,6.96,8.53,8.8,1.57,0.27
Agusan Del Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,44.61,46.25,46.95,1.64,0.7
Entrepreneurial Activities,28.98,23.31,25.58,-5.67,2.27
Cash Receipts From Abroad,3.77,4.76,4.32,0.99,-0.44
Cash Receipts From Domestic Sources,6.71,7.76,8.02,1.05,0.26
Rentals Received,1.04,0.64,0.38,-0.4,-0.26
Interest,0.17,0.09,0.09,-0.08,0.01
Pension,2.96,2.61,2.05,-0.35,-0.56
Dividends,0.36,0.12,0.0,-0.24,-0.12
"Other Source Of Income, Nec",0.03,0.09,0.21,0.06,0.11
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.8,1.41,1.0,0.61,-0.42
Net Receipt From Family Sustenance Activities,2.84,3.6,2.84,0.76,-0.76
Received As Gifts,2.31,2.59,2.07,0.28,-0.52
Imputed Rent,5.4,6.76,6.48,1.36,-0.28
Surigao Del Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,50.6,54.56,50.38,3.96,-4.17
Entrepreneurial Activities,21.62,17.99,24.8,-3.63,6.8
Cash Receipts From Abroad,5.4,4.82,3.56,-0.58,-1.26
Cash Receipts From Domestic Sources,5.61,5.72,6.73,0.11,1.01
Rentals Received,0.57,0.85,0.57,0.28,-0.28
Interest,0.14,0.05,0.16,-0.09,0.12
Pension,3.58,2.59,2.54,-0.99,-0.05
Dividends,0.0,0.0,0.08,0.0,0.08
"Other Source Of Income, Nec",0.01,0.18,0.41,0.17,0.22
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.68,0.6,0.66,-0.08,0.06
Net Receipt From Family Sustenance Activities,1.36,1.29,1.26,-0.07,-0.03
Received As Gifts,1.78,1.56,2.03,-0.22,0.47
Imputed Rent,8.66,9.79,6.81,1.13,-2.98
Surigao Del Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.62,50.0,50.11,7.38,0.11
Entrepreneurial Activities,26.62,23.65,20.76,-2.97,-2.89
Cash Receipts From Abroad,7.78,4.09,4.99,-3.69,0.9
Cash Receipts From Domestic Sources,8.04,6.28,7.99,-1.76,1.71
Rentals Received,0.44,0.31,0.39,-0.13,0.08
Interest,0.06,0.02,0.05,-0.04,0.03
Pension,4.03,3.76,3.48,-0.27,-0.28
Dividends,0.02,0.09,0.01,0.07,-0.08
"Other Source Of Income, Nec",0.03,0.16,0.03,0.13,-0.14
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.0,0.73,0.61,-0.27,-0.12
Net Receipt From Family Sustenance Activities,1.65,1.66,1.81,0.01,0.15
Received As Gifts,2.03,2.21,1.49,0.18,-0.72
Imputed Rent,5.7,7.02,8.26,1.32,1.24
Dinagat Islands,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,42.73,40.63,49.6,-2.1,8.97
Entrepreneurial Activities,25.89,20.48,24.23,-5.41,3.74
Cash Receipts From Abroad,3.53,5.65,3.49,2.12,-2.16
Cash Receipts From Domestic Sources,9.72,12.87,8.54,3.15,-4.33
Rentals Received,0.41,0.14,0.36,-0.27,0.22
Interest,0.07,0.04,0.5,-0.03,0.45
Pension,3.67,3.68,1.24,0.01,-2.44
Dividends,0.14,0.06,0.02,-0.08,-0.04
"Other Source Of Income, Nec",0.06,0.23,0.35,0.17,0.12
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.73,1.39,0.39,0.66,-0.99
Net Receipt From Family Sustenance Activities,2.83,3.7,1.67,0.87,-2.03
Received As Gifts,4.63,5.4,2.6,0.77,-2.8
Imputed Rent,5.6,5.72,7.01,0.12,1.29
BARMM - Bangsamoro Autonomous Region In Muslim Mindanao (includes The 63 Barangays From Cotabato For 2023),0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,26.71,30.9,25.87,4.19,-5.02
Entrepreneurial Activities,52.12,44.86,52.33,-7.26,7.47
Cash Receipts From Abroad,5.19,4.08,4.08,-1.11,0.0
Cash Receipts From Domestic Sources,4.71,5.34,4.74,0.63,-0.6
Rentals Received,0.07,0.25,0.3,0.18,0.05
Interest,0.0,0.03,0.02,0.03,-0.01
Pension,0.61,0.72,0.55,0.11,-0.17
Dividends,0.14,0.03,0.1,-0.11,0.06
"Other Source Of Income, Nec",0.27,0.19,0.31,-0.08,0.12
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.97,1.68,1.29,0.71,-0.4
Net Receipt From Family Sustenance Activities,1.98,1.84,1.34,-0.14,-0.49
Received As Gifts,1.56,3.44,2.33,1.88,-1.11
Imputed Rent,5.66,6.65,6.74,0.99,0.09
Basilan,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,43.6,39.3,43.41,-4.3,4.11
Entrepreneurial Activities,31.74,30.15,32.58,-1.59,2.42
Cash Receipts From Abroad,9.77,8.53,7.85,-1.24,-0.68
Cash Receipts From Domestic Sources,5.59,5.07,5.74,-0.52,0.67
Rentals Received,0.02,0.96,0.19,0.94,-0.77
Interest,0.0,0.01,0.02,0.01,0.02
Pension,0.83,1.55,0.88,0.72,-0.67
Dividends,0.0,0.0,0.03,0.0,0.02
"Other Source Of Income, Nec",0.1,0.21,0.06,0.11,-0.15
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.43,0.23,0.37,-0.2,0.14
Net Receipt From Family Sustenance Activities,2.04,2.63,0.77,0.59,-1.86
Received As Gifts,1.28,3.32,1.46,2.04,-1.86
Imputed Rent,4.6,8.03,6.63,3.43,-1.39
Lanao Del Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,23.24,23.18,27.85,-0.06,4.67
Entrepreneurial Activities,54.37,46.64,45.82,-7.73,-0.82
Cash Receipts From Abroad,1.17,1.64,1.52,0.47,-0.12
Cash Receipts From Domestic Sources,7.6,9.63,7.62,2.03,-2.01
Rentals Received,0.14,0.43,0.84,0.29,0.41
Interest,0.0,0.01,0.01,0.01,0.01
Pension,0.73,0.56,0.62,-0.17,0.06
Dividends,0.0,0.07,0.09,0.07,0.02
"Other Source Of Income, Nec",0.06,0.11,0.06,0.05,-0.05
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.57,3.83,2.43,3.26,-1.4
Net Receipt From Family Sustenance Activities,2.63,1.82,0.98,-0.81,-0.84
Received As Gifts,3.43,6.37,5.67,2.94,-0.7
Imputed Rent,6.06,5.7,6.48,-0.36,0.78
Maguindanao,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,29.54,30.72,25.76,1.18,-4.96
Entrepreneurial Activities,41.35,46.49,54.33,5.14,7.84
Cash Receipts From Abroad,11.04,7.13,4.45,-3.91,-2.68
Cash Receipts From Domestic Sources,5.49,3.25,4.48,-2.24,1.23
Rentals Received,0.03,0.0,0.01,-0.03,0.01
Interest,0.0,0.01,0.01,0.01,0.0
Pension,0.29,0.36,0.33,0.07,-0.03
Dividends,0.0,0.01,0.11,0.01,0.1
"Other Source Of Income, Nec",0.09,0.05,0.06,-0.04,0.01
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",2.21,0.74,0.96,-1.47,0.22
Net Receipt From Family Sustenance Activities,2.29,2.04,0.54,-0.25,-1.5
Received As Gifts,1.46,1.48,1.28,0.02,-0.2
Imputed Rent,6.21,7.71,7.68,1.5,-0.03
Maguindanao Del Sur,0.0,0.0,0.0,0.0,0.0
Share To Family Income,0.0,0.0,100.0,0.0,0.0
Wagesalaries,0.0,0.0,22.82,0.0,0.0
Entrepreneurial Activities,0.0,0.0,57.78,0.0,0.0
Cash Receipts From Abroad,0.0,0.0,4.02,0.0,0.0
Cash Receipts From Domestic Sources,0.0,0.0,4.8,0.0,0.0
Rentals Received,0.0,0.0,0.01,0.0,0.0
Interest,0.0,0.0,0.01,0.0,0.0
Pension,0.0,0.0,0.38,0.0,0.0
Dividends,0.0,0.0,0.09,0.0,0.0
"Other Source Of Income, Nec",0.0,0.0,0.06,0.0,0.0
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.0,0.0,1.31,0.0,0.0
Net Receipt From Family Sustenance Activities,0.0,0.0,0.59,0.0,0.0
Received As Gifts,0.0,0.0,1.4,0.0,0.0
Imputed Rent,0.0,0.0,6.72,0.0,0.0
Maguindanao Del Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Income,0.0,0.0,100.0,0.0,0.0
Wagesalaries,0.0,0.0,28.85,0.0,0.0
Entrepreneurial Activities,0.0,0.0,50.71,0.0,0.0
Cash Receipts From Abroad,0.0,0.0,4.89,0.0,0.0
Cash Receipts From Domestic Sources,0.0,0.0,4.15,0.0,0.0
Rentals Received,0.0,0.0,0.01,0.0,0.0
Interest,0.0,0.0,0.0,0.0,0.0
Pension,0.0,0.0,0.29,0.0,0.0
Dividends,0.0,0.0,0.12,0.0,0.0
"Other Source Of Income, Nec",0.0,0.0,0.06,0.0,0.0
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.0,0.0,0.59,0.0,0.0
Net Receipt From Family Sustenance Activities,0.0,0.0,0.48,0.0,0.0
Received As Gifts,0.0,0.0,1.15,0.0,0.0
Imputed Rent,0.0,0.0,8.68,0.0,0.0
Sulu,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,6.82,31.48,13.91,24.66,-17.57
Entrepreneurial Activities,84.76,49.1,74.69,-35.66,25.59
Cash Receipts From Abroad,0.67,2.4,2.5,1.73,0.09
Cash Receipts From Domestic Sources,1.08,3.82,1.51,2.74,-2.31
Rentals Received,0.0,0.0,0.16,0.0,0.16
Interest,0.0,0.0,0.02,0.0,0.02
Pension,0.0,0.71,0.03,0.71,-0.68
Dividends,0.0,0.02,0.05,0.02,0.03
"Other Source Of Income, Nec",0.0,0.52,1.19,0.52,0.67
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.0,1.1,0.83,1.1,-0.27
Net Receipt From Family Sustenance Activities,2.27,2.2,0.81,-0.07,-1.39
Received As Gifts,0.17,2.87,0.82,2.7,-2.05
Imputed Rent,4.23,5.78,3.49,1.55,-2.3
Tawi-tawi,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,23.83,30.89,24.78,7.06,-6.11
Entrepreneurial Activities,65.0,56.17,49.54,-8.83,-6.63
Cash Receipts From Abroad,1.34,1.84,3.76,0.5,1.92
Cash Receipts From Domestic Sources,2.05,1.09,0.8,-0.96,-0.29
Rentals Received,0.02,0.2,0.03,0.18,-0.17
Interest,0.0,0.03,0.01,0.03,-0.01
Pension,0.66,0.64,0.19,-0.02,-0.45
Dividends,0.35,0.0,0.01,-0.35,0.01
"Other Source Of Income, Nec",0.65,0.24,0.11,-0.41,-0.13
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",0.02,0.84,1.66,0.82,0.82
Net Receipt From Family Sustenance Activities,1.05,1.39,6.57,0.34,5.18
Received As Gifts,0.61,1.71,0.26,1.1,-1.45
Imputed Rent,4.41,4.96,12.27,0.55,7.31
Cotabato City,0.0,0.0,0.0,0.0,0.0
Share To Family Income,100.0,100.0,100.0,0.0,0.0
Wagesalaries,48.32,48.0,44.4,-0.32,-3.6
Entrepreneurial Activities,27.32,27.91,32.85,0.59,4.94
Cash Receipts From Abroad,6.2,5.67,5.19,-0.53,-0.48
Cash Receipts From Domestic Sources,3.85,4.27,4.36,0.42,0.09
Rentals Received,0.26,0.22,0.1,-0.04,-0.11
Interest,0.01,0.2,0.02,0.19,-0.18
Pension,1.93,1.62,2.61,-0.31,0.99
Dividends,0.87,0.04,0.44,-0.83,0.4
"Other Source Of Income, Nec",1.29,0.14,0.06,-1.15,-0.07
"Net Share Of Crops, Aquaculture Products Or Livestock Raised By Other Households",1.34,0.34,0.22,-1.0,-0.12
Net Receipt From Family Sustenance Activities,0.24,0.54,0.19,0.3,-0.34
Received As Gifts,0.98,2.04,1.02,1.06,-1.02
Imputed Rent,7.4,9.02,8.53,1.62,-0.49
