region_province_huc_by_expenditure_group,in_percent_2018,in_percent_2021,in_percent_2023,pct_point_change_2018_to_2021,pct_point_change_2021_to_2023
Other Expenditures,1.83,1.27,1.68,-0.56,0.42
City Of Bacolod,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,37.29,40.21,42.42,2.93,2.21
Food Consumed At Home,29.43,34.43,34.82,5.0,0.39
Food Regularly Consumed Outside The Home,7.86,5.77,7.59,-2.09,1.82
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,0.0
Alcoholic Beverages And Tobacco,1.45,1.25,1.48,-0.2,0.23
Clothing And Footwear,3.26,1.74,2.17,-1.51,0.43
"Housing, Water, Electricity, Gas And Other Fuels",21.78,26.43,20.88,4.65,-5.55
Furnishings And Routine Household Maintenance,3.08,2.58,2.64,-0.5,0.07
Health,3.45,2.79,2.25,-0.66,-0.54
Transport,7.23,5.51,7.02,-1.71,1.51
Information And Communication,2.81,3.76,3.7,0.95,-0.06
"Recreation, Sport And Culture",0.71,0.6,0.74,-0.1,0.14
Education,3.57,2.22,3.25,-1.35,1.03
Hotels (accommodation Services),0.04,0.02,0.01,-0.02,-0.01
Insurance And Financial Services,0.0,3.58,2.83,3.58,-0.75
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.4,4.03,3.61,-2.37,-0.42
Durable Furniture And Equipment,2.46,1.87,3.3,-0.59,1.43
Special Family Occasion,3.08,2.15,2.64,-0.93,0.48
Other Expenditures,3.41,1.24,1.05,-2.17,-0.19
Negros Oriental,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,39.34,42.31,41.37,2.97,-0.94
Food Consumed At Home,34.74,40.92,37.4,6.18,-3.52
Food Regularly Consumed Outside The Home,4.6,1.39,3.97,-3.21,2.59
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.26,1.2,0.79,-0.05,-0.42
Clothing And Footwear,3.04,1.51,1.85,-1.53,0.33
"Housing, Water, Electricity, Gas And Other Fuels",24.53,22.86,23.18,-1.67,0.32
Furnishings And Routine Household Maintenance,2.73,1.92,2.78,-0.81,0.86
Health,2.87,4.72,2.99,1.85,-1.73
Transport,6.03,6.33,7.44,0.3,1.1
Information And Communication,1.81,3.23,2.95,1.42,-0.27
"Recreation, Sport And Culture",0.66,0.34,0.79,-0.32,0.45
Education,2.91,0.84,5.17,-2.07,4.33
Hotels (accommodation Services),0.13,0.0,0.07,-0.13,0.06
Insurance And Financial Services,0.0,2.71,1.41,2.71,-1.3
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.91,4.62,2.95,-1.29,-1.67
Durable Furniture And Equipment,4.39,3.99,2.5,-0.4,-1.49
Special Family Occasion,3.39,2.44,2.68,-0.95,0.24
Other Expenditures,1.01,0.97,1.09,-0.03,0.12
Siquijor,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,38.19,43.11,40.22,4.93,-2.89
Food Consumed At Home,34.52,42.36,38.33,7.84,-4.03
Food Regularly Consumed Outside The Home,3.66,0.75,1.89,-2.91,1.14
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.53,0.97,1.35,-0.56,0.38
Clothing And Footwear,4.67,2.6,2.39,-2.07,-0.21
"Housing, Water, Electricity, Gas And Other Fuels",19.67,19.58,18.13,-0.09,-1.45
Furnishings And Routine Household Maintenance,2.74,2.23,3.08,-0.52,0.85
Health,2.85,4.86,3.78,2.02,-1.08
Transport,5.59,5.89,6.26,0.3,0.37
Information And Communication,1.22,2.28,2.76,1.06,0.48
"Recreation, Sport And Culture",0.89,0.69,0.74,-0.19,0.05
Education,1.91,0.81,3.25,-1.1,2.44
Hotels (accommodation Services),0.19,0.06,0.1,-0.13,0.04
Insurance And Financial Services,0.0,2.56,1.42,2.56,-1.14
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.72,5.19,3.76,-1.54,-1.43
Durable Furniture And Equipment,5.82,2.17,5.43,-3.65,3.26
Special Family Occasion,6.39,5.62,5.72,-0.77,0.09
Other Expenditures,1.62,1.38,1.62,-0.24,0.23
Region VII - Central Visayas,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,43.14,42.66,41.93,-0.47,-0.74
Food Consumed At Home,33.97,39.42,37.39,5.46,-2.03
Food Regularly Consumed Outside The Home,9.17,3.22,4.53,-5.95,1.3
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.01,0.02,-0.01
Alcoholic Beverages And Tobacco,1.25,1.44,1.2,0.19,-0.23
Clothing And Footwear,2.25,1.3,1.71,-0.95,0.4
"Housing, Water, Electricity, Gas And Other Fuels",22.41,27.13,24.0,4.72,-3.13
Furnishings And Routine Household Maintenance,2.41,1.81,2.48,-0.59,0.66
Health,2.86,2.76,2.53,-0.1,-0.23
Transport,6.59,5.71,7.44,-0.88,1.73
Information And Communication,2.02,3.12,3.38,1.1,0.26
"Recreation, Sport And Culture",0.78,0.35,0.66,-0.43,0.31
Education,2.52,1.79,4.09,-0.73,2.29
Hotels (accommodation Services),0.11,0.05,0.03,-0.06,-0.02
Insurance And Financial Services,0.0,2.67,2.59,2.67,-0.07
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.86,4.24,3.61,-1.62,-0.63
Durable Furniture And Equipment,3.46,1.75,1.23,-1.72,-0.51
Special Family Occasion,3.22,2.1,2.25,-1.12,0.15
Other Expenditures,1.12,1.13,0.88,0.0,-0.25
Bohol,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,38.15,42.69,40.56,4.54,-2.13
Food Consumed At Home,34.16,41.71,38.64,7.55,-3.07
Food Regularly Consumed Outside The Home,3.98,0.96,1.89,-3.02,0.93
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.03,0.02,0.01
Alcoholic Beverages And Tobacco,0.82,1.37,0.97,0.54,-0.39
Clothing And Footwear,2.59,1.58,1.57,-1.01,-0.01
"Housing, Water, Electricity, Gas And Other Fuels",21.34,23.18,22.06,1.84,-1.13
Furnishings And Routine Household Maintenance,2.73,2.22,2.59,-0.51,0.37
Health,3.16,3.0,3.56,-0.17,0.56
Transport,6.23,6.45,6.33,0.21,-0.12
Information And Communication,1.6,2.8,2.68,1.2,-0.12
"Recreation, Sport And Culture",1.1,0.41,0.75,-0.68,0.34
Education,3.14,1.97,5.75,-1.17,3.78
Hotels (accommodation Services),0.34,0.03,0.07,-0.3,0.04
Insurance And Financial Services,0.0,3.12,2.11,3.12,-1.01
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.36,4.23,2.98,-1.13,-1.24
Durable Furniture And Equipment,7.35,2.54,2.75,-4.81,0.21
Special Family Occasion,4.84,2.93,3.9,-1.91,0.97
Other Expenditures,1.25,1.48,1.34,0.24,-0.14
"Cebu (excluding City Of Cebu, City Of Lapu-lapu, City Of Mandaue)",0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.07,44.89,43.84,-1.19,-1.04
Food Consumed At Home,36.57,41.62,39.65,5.05,-1.96
Food Regularly Consumed Outside The Home,9.5,3.25,4.19,-6.25,0.94
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.0,0.02,-0.02
Alcoholic Beverages And Tobacco,1.4,1.49,1.33,0.09,-0.16
Clothing And Footwear,2.24,1.37,1.83,-0.86,0.45
"Housing, Water, Electricity, Gas And Other Fuels",20.79,24.83,22.54,4.04,-2.29
Furnishings And Routine Household Maintenance,2.44,1.98,2.33,-0.45,0.35
Health,2.71,2.75,2.0,0.03,-0.75
Transport,7.14,5.53,8.16,-1.61,2.63
Information And Communication,1.86,2.81,3.42,0.94,0.61
"Recreation, Sport And Culture",0.7,0.34,0.64,-0.36,0.3
Education,1.91,1.67,3.88,-0.23,2.2
Hotels (accommodation Services),0.09,0.08,0.01,-0.01,-0.07
Insurance And Financial Services,0.0,2.21,2.77,2.21,0.56
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.92,4.76,3.85,-1.16,-0.91
Durable Furniture And Equipment,2.59,1.89,0.93,-0.7,-0.95
Special Family Occasion,3.26,2.27,1.87,-0.99,-0.4
Other Expenditures,0.87,1.13,0.59,0.26,-0.54
City Of Cebu,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,41.63,39.95,42.95,-1.68,3.0
Food Consumed At Home,29.76,36.13,35.09,6.37,-1.04
Food Regularly Consumed Outside The Home,11.86,3.77,7.86,-8.09,4.08
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.05,0.0,0.05,-0.04
Alcoholic Beverages And Tobacco,1.3,1.37,1.18,0.07,-0.19
Clothing And Footwear,2.18,1.13,1.38,-1.04,0.25
"Housing, Water, Electricity, Gas And Other Fuels",24.91,33.51,26.76,8.6,-6.76
Furnishings And Routine Household Maintenance,2.26,1.36,2.74,-0.89,1.38
Health,2.93,2.92,2.71,-0.01,-0.21
Transport,5.87,4.77,6.89,-1.1,2.12
Information And Communication,2.5,3.58,3.64,1.08,0.06
"Recreation, Sport And Culture",0.7,0.26,0.51,-0.43,0.25
Education,2.95,2.06,2.95,-0.89,0.89
Hotels (accommodation Services),0.03,0.01,0.02,-0.02,0.01
Insurance And Financial Services,0.0,2.76,1.9,2.76,-0.87
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.79,3.33,3.5,-2.46,0.16
Durable Furniture And Equipment,2.8,0.9,0.69,-1.9,-0.21
Special Family Occasion,2.43,1.26,1.5,-1.17,0.24
Other Expenditures,1.73,0.82,0.69,-0.91,-0.13
City Of Lapu-lapu,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,43.47,39.44,38.27,-4.03,-1.17
Food Consumed At Home,32.64,35.15,33.12,2.51,-2.03
Food Regularly Consumed Outside The Home,10.83,4.29,5.15,-6.54,0.86
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.17,1.46,1.07,0.28,-0.39
Clothing And Footwear,1.96,1.11,1.82,-0.85,0.71
"Housing, Water, Electricity, Gas And Other Fuels",24.29,30.27,27.68,5.98,-2.6
Furnishings And Routine Household Maintenance,1.95,1.65,2.4,-0.3,0.76
Health,2.33,2.31,2.52,-0.01,0.2
Transport,6.66,6.61,7.33,-0.05,0.72
Information And Communication,2.43,3.79,3.61,1.36,-0.18
"Recreation, Sport And Culture",0.86,0.4,0.64,-0.46,0.24
Education,2.98,1.81,3.79,-1.18,1.98
Hotels (accommodation Services),0.01,0.04,0.01,0.02,-0.02
Insurance And Financial Services,0.0,3.11,2.97,3.11,-0.14
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.66,3.7,3.6,-2.96,-0.1
Durable Furniture And Equipment,1.82,1.25,0.72,-0.57,-0.53
Special Family Occasion,2.32,1.97,2.57,-0.35,0.6
Other Expenditures,1.09,1.08,1.01,-0.01,-0.07
City Of Mandaue,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,42.58,41.47,37.65,-1.11,-3.82
Food Consumed At Home,31.21,36.26,33.41,5.05,-2.85
Food Regularly Consumed Outside The Home,11.38,5.21,4.22,-6.16,-0.99
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.02,0.0,0.02
Alcoholic Beverages And Tobacco,1.37,1.41,1.2,0.04,-0.21
Clothing And Footwear,2.04,1.02,1.87,-1.02,0.85
"Housing, Water, Electricity, Gas And Other Fuels",25.5,28.96,25.27,3.46,-3.69
Furnishings And Routine Household Maintenance,2.33,1.32,2.55,-1.02,1.23
Health,3.38,2.58,2.85,-0.8,0.26
Transport,6.11,5.94,7.21,-0.17,1.27
Information And Communication,2.2,3.5,3.74,1.31,0.24
"Recreation, Sport And Culture",0.54,0.35,0.86,-0.19,0.52
Education,2.8,1.4,4.39,-1.4,2.99
Hotels (accommodation Services),0.02,0.05,0.04,0.03,-0.01
Insurance And Financial Services,0.0,3.25,3.5,3.25,0.25
"Personal Care, Social Protection And Miscellaneous Goods And Services",5.95,4.3,3.87,-1.65,-0.43
Durable Furniture And Equipment,2.35,1.85,1.41,-0.5,-0.45
Special Family Occasion,2.05,1.48,2.01,-0.57,0.52
Other Expenditures,0.77,1.12,1.6,0.35,0.48
Region VIII - Eastern Visayas,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.82,46.33,44.47,0.51,-1.86
Food Consumed At Home,41.53,44.37,42.45,2.85,-1.92
Food Regularly Consumed Outside The Home,4.29,1.94,2.0,-2.35,0.06
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.02,0.02,0.0
Alcoholic Beverages And Tobacco,1.65,1.73,1.5,0.09,-0.24
Clothing And Footwear,2.64,1.74,1.79,-0.9,0.04
"Housing, Water, Electricity, Gas And Other Fuels",17.53,21.26,20.18,3.73,-1.08
Furnishings And Routine Household Maintenance,2.56,2.03,2.71,-0.53,0.68
Health,2.72,3.34,2.64,0.62,-0.7
Transport,5.34,5.14,5.9,-0.2,0.76
Information And Communication,1.42,2.78,2.65,1.36,-0.14
"Recreation, Sport And Culture",1.06,0.35,0.79,-0.71,0.44
Education,2.3,0.95,3.64,-1.35,2.69
Hotels (accommodation Services),0.24,0.02,0.12,-0.22,0.11
Insurance And Financial Services,0.0,2.88,2.72,2.88,-0.16
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.66,4.43,3.98,-2.23,-0.44
Durable Furniture And Equipment,3.77,2.53,1.54,-1.23,-1.0
Special Family Occasion,4.51,2.77,3.91,-1.74,1.13
Other Expenditures,1.79,1.69,1.47,-0.09,-0.23
Eastern Samar,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.57,45.55,46.76,-1.03,1.21
Food Consumed At Home,43.33,43.92,44.53,0.59,0.61
Food Regularly Consumed Outside The Home,3.24,1.62,2.21,-1.62,0.59
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.02,0.01,0.02
Alcoholic Beverages And Tobacco,1.56,1.32,1.13,-0.24,-0.19
Clothing And Footwear,2.93,1.95,1.66,-0.99,-0.29
"Housing, Water, Electricity, Gas And Other Fuels",17.43,20.42,19.01,3.0,-1.42
Furnishings And Routine Household Maintenance,2.49,2.25,2.4,-0.24,0.15
Health,2.48,2.55,2.32,0.07,-0.23
Transport,4.97,4.49,5.22,-0.48,0.73
Information And Communication,1.07,3.13,2.64,2.06,-0.49
"Recreation, Sport And Culture",1.2,0.31,0.61,-0.89,0.3
Education,2.2,0.44,3.31,-1.76,2.87
Hotels (accommodation Services),0.33,0.01,0.1,-0.33,0.09
Insurance And Financial Services,0.0,3.43,2.67,3.43,-0.76
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.32,4.61,3.72,-1.71,-0.89
Durable Furniture And Equipment,2.9,3.39,1.77,0.48,-1.61
Special Family Occasion,5.53,4.67,4.85,-0.86,0.17
Other Expenditures,2.0,1.48,1.85,-0.51,0.37
Leyte (excluding City Of Tacloban),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,45.47,45.41,43.35,-0.06,-2.06
Food Consumed At Home,41.03,43.53,41.74,2.5,-1.79
Food Regularly Consumed Outside The Home,4.44,1.86,1.6,-2.58,-0.26
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.01,0.02,-0.01
Alcoholic Beverages And Tobacco,1.65,1.73,1.63,0.08,-0.1
Clothing And Footwear,2.33,1.55,1.87,-0.78,0.32
"Housing, Water, Electricity, Gas And Other Fuels",17.75,22.58,20.38,4.83,-2.21
Furnishings And Routine Household Maintenance,2.56,1.9,2.95,-0.65,1.05
Health,3.13,4.2,2.55,1.07,-1.64
Transport,6.04,5.54,6.55,-0.5,1.0
Information And Communication,1.56,2.62,2.7,1.06,0.08
"Recreation, Sport And Culture",1.0,0.4,0.89,-0.6,0.49
Education,2.62,1.12,4.3,-1.5,3.17
Hotels (accommodation Services),0.27,0.01,0.09,-0.26,0.07
Insurance And Financial Services,0.0,2.37,2.91,2.37,0.54
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.23,4.16,4.05,-2.06,-0.12
Durable Furniture And Equipment,3.69,2.68,1.15,-1.01,-1.53
Special Family Occasion,4.08,2.47,3.52,-1.62,1.05
Other Expenditures,1.62,1.25,1.12,-0.36,-0.14
City Of Tacloban,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,37.94,40.75,37.13,2.81,-3.62
Food Consumed At Home,32.63,37.43,34.16,4.81,-3.27
Food Regularly Consumed Outside The Home,5.32,3.32,2.97,-2.0,-0.35
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.0,0.0,0.0,0.0
Alcoholic Beverages And Tobacco,1.41,1.48,1.29,0.07,-0.19
Clothing And Footwear,2.55,1.56,1.66,-0.99,0.1
"Housing, Water, Electricity, Gas And Other Fuels",21.43,25.21,26.58,3.79,1.37
Furnishings And Routine Household Maintenance,2.88,1.97,2.6,-0.91,0.63
Health,2.65,3.47,2.19,0.83,-1.28
Transport,6.57,6.0,7.21,-0.57,1.21
Information And Communication,2.14,3.4,3.36,1.26,-0.04
"Recreation, Sport And Culture",0.88,0.39,0.69,-0.48,0.29
Education,2.95,1.38,3.48,-1.57,2.11
Hotels (accommodation Services),0.04,0.02,0.02,-0.03,0.0
Insurance And Financial Services,0.0,4.6,4.36,4.6,-0.23
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.41,4.17,3.48,-3.24,-0.69
Durable Furniture And Equipment,5.43,1.94,1.8,-3.49,-0.14
Special Family Occasion,3.28,1.94,2.24,-1.34,0.3
Other Expenditures,2.45,1.71,1.89,-0.73,0.18
Northern Samar,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,47.47,49.27,46.44,1.8,-2.83
Food Consumed At Home,44.05,47.22,44.21,3.17,-3.02
Food Regularly Consumed Outside The Home,3.42,2.03,2.23,-1.39,0.2
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.01,0.02,-0.01
Alcoholic Beverages And Tobacco,1.69,1.6,1.36,-0.08,-0.24
Clothing And Footwear,2.64,1.75,1.7,-0.89,-0.05
"Housing, Water, Electricity, Gas And Other Fuels",18.58,21.65,23.04,3.07,1.39
Furnishings And Routine Household Maintenance,2.36,1.95,1.98,-0.41,0.03
Health,1.67,1.82,1.67,0.15,-0.15
Transport,4.2,4.29,4.63,0.09,0.34
Information And Communication,1.06,2.29,2.24,1.23,-0.05
"Recreation, Sport And Culture",1.04,0.2,0.82,-0.83,0.61
Education,1.99,0.6,1.5,-1.39,0.9
Hotels (accommodation Services),0.15,0.03,0.25,-0.13,0.22
Insurance And Financial Services,0.0,3.09,2.49,3.09,-0.6
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.3,5.11,3.96,-2.19,-1.15
Durable Furniture And Equipment,2.63,1.58,0.92,-1.05,-0.66
Special Family Occasion,5.53,2.98,5.64,-2.54,2.66
Other Expenditures,1.71,1.78,1.37,0.07,-0.41
Samar (western Samar),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,49.33,50.5,44.15,1.18,-6.35
Food Consumed At Home,45.28,49.16,41.29,3.87,-7.86
Food Regularly Consumed Outside The Home,4.04,1.33,2.85,-2.71,1.52
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,-0.01
Alcoholic Beverages And Tobacco,1.99,2.43,1.1,0.44,-1.33
Clothing And Footwear,2.98,2.17,1.59,-0.81,-0.58
"Housing, Water, Electricity, Gas And Other Fuels",15.95,18.23,16.67,2.29,-1.57
Furnishings And Routine Household Maintenance,2.38,2.06,2.83,-0.32,0.77
Health,2.0,2.34,4.93,0.34,2.58
Transport,4.28,4.59,5.74,0.31,1.15
Information And Communication,1.19,2.93,2.81,1.74,-0.12
"Recreation, Sport And Culture",1.03,0.38,0.78,-0.65,0.4
Education,1.83,0.92,4.75,-0.9,3.83
Hotels (accommodation Services),0.17,0.01,0.22,-0.15,0.2
Insurance And Financial Services,0.0,2.91,2.19,2.91,-0.72
"Personal Care, Social Protection And Miscellaneous Goods And Services",7.18,4.62,3.67,-2.56,-0.95
Durable Furniture And Equipment,3.65,1.94,2.63,-1.71,0.69
Special Family Occasion,4.45,2.41,3.87,-2.04,1.46
Other Expenditures,1.61,1.55,2.09,-0.06,0.54
Southern Leyte,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,46.48,46.78,48.68,0.3,1.9
Food Consumed At Home,40.83,44.26,47.3,3.42,3.05
Food Regularly Consumed Outside The Home,5.65,2.51,1.32,-3.14,-1.19
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.05,0.01,0.04
Alcoholic Beverages And Tobacco,1.18,1.3,1.88,0.12,0.57
Clothing And Footwear,2.83,1.56,1.88,-1.27,0.32
"Housing, Water, Electricity, Gas And Other Fuels",16.19,18.61,17.89,2.41,-0.72
Furnishings And Routine Household Maintenance,2.68,2.05,2.78,-0.63,0.73
Health,3.78,3.46,2.14,-0.32,-1.32
Transport,5.01,5.25,4.91,0.23,-0.34
Information And Communication,1.5,2.87,2.31,1.37,-0.56
"Recreation, Sport And Culture",1.19,0.19,0.71,-1.0,0.52
Education,2.16,1.03,3.39,-1.13,2.36
Hotels (accommodation Services),0.28,0.04,0.08,-0.24,0.04
Insurance And Financial Services,0.0,2.48,1.94,2.48,-0.54
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.53,4.49,4.53,-2.04,0.04
Durable Furniture And Equipment,3.87,3.16,1.46,-0.71,-1.69
Special Family Occasion,4.93,3.0,3.93,-1.92,0.92
Other Expenditures,1.39,3.73,1.48,2.34,-2.24
Biliran,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,43.45,43.35,43.16,-0.1,-0.19
Food Consumed At Home,39.49,41.6,39.48,2.11,-2.12
Food Regularly Consumed Outside The Home,3.96,1.74,3.66,-2.22,1.92
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.01,0.01,0.0
Alcoholic Beverages And Tobacco,1.84,1.91,1.4,0.08,-0.51
Clothing And Footwear,3.15,2.28,1.88,-0.86,-0.41
"Housing, Water, Electricity, Gas And Other Fuels",14.67,18.89,18.96,4.22,0.08
Furnishings And Routine Household Maintenance,3.0,2.86,2.67,-0.14,-0.19
Health,3.02,4.04,4.25,1.02,0.22
Transport,5.4,5.2,6.11,-0.2,0.9
Information And Communication,1.35,2.95,2.72,1.6,-0.23
"Recreation, Sport And Culture",1.49,0.55,0.72,-0.94,0.17
Education,1.47,0.57,2.1,-0.9,1.53
Hotels (accommodation Services),0.4,0.02,0.32,-0.38,0.31
Insurance And Financial Services,0.0,3.67,2.68,3.67,-0.99
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.49,4.38,3.67,-2.12,-0.71
Durable Furniture And Equipment,6.27,3.68,3.71,-2.59,0.02
Special Family Occasion,4.88,3.26,3.67,-1.62,0.41
Other Expenditures,3.12,2.38,1.98,-0.73,-0.4
Region IX - Zamboanga Peninsula,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,49.65,47.58,45.65,-2.07,-1.93
Food Consumed At Home,44.94,46.33,42.72,1.39,-3.6
Food Regularly Consumed Outside The Home,4.71,1.25,2.92,-3.46,1.67
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,0.0
Alcoholic Beverages And Tobacco,1.76,1.45,1.21,-0.31,-0.24
Clothing And Footwear,3.15,1.99,2.2,-1.16,0.21
"Housing, Water, Electricity, Gas And Other Fuels",16.25,18.86,16.98,2.61,-1.88
Furnishings And Routine Household Maintenance,2.03,1.95,2.92,-0.08,0.97
Health,2.46,2.79,2.56,0.32,-0.23
Transport,5.21,5.79,6.15,0.58,0.35
Information And Communication,1.48,2.83,2.62,1.35,-0.21
"Recreation, Sport And Culture",0.69,0.44,0.91,-0.25,0.47
Education,2.17,1.08,3.08,-1.08,1.99
Hotels (accommodation Services),0.1,0.02,0.11,-0.08,0.09
Insurance And Financial Services,0.0,2.67,2.53,2.67,-0.14
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.62,5.11,4.1,-1.51,-1.01
Durable Furniture And Equipment,3.63,2.94,3.01,-0.69,0.07
Special Family Occasion,3.2,2.98,3.79,-0.21,0.8
Other Expenditures,1.61,1.51,2.18,-0.1,0.67
Zamboanga Del Norte,0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,48.01,45.42,49.17,-2.58,3.74
Food Consumed At Home,44.58,44.37,46.71,-0.21,2.34
Food Regularly Consumed Outside The Home,3.43,1.05,2.46,-2.38,1.4
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.01,0.0,0.01,0.0
Alcoholic Beverages And Tobacco,1.86,1.48,1.4,-0.38,-0.08
Clothing And Footwear,3.43,2.2,2.01,-1.23,-0.19
"Housing, Water, Electricity, Gas And Other Fuels",16.1,18.84,15.84,2.74,-2.99
Furnishings And Routine Household Maintenance,1.97,1.92,2.86,-0.04,0.93
Health,2.44,3.58,2.35,1.14,-1.23
Transport,5.67,6.33,6.06,0.66,-0.27
Information And Communication,1.21,2.78,2.41,1.57,-0.37
"Recreation, Sport And Culture",0.75,0.46,0.96,-0.29,0.5
Education,2.28,0.88,2.55,-1.4,1.67
Hotels (accommodation Services),0.15,0.04,0.07,-0.11,0.03
Insurance And Financial Services,0.0,3.51,2.55,3.51,-0.96
"Personal Care, Social Protection And Miscellaneous Goods And Services",6.38,4.65,3.84,-1.73,-0.81
Durable Furniture And Equipment,4.64,3.22,2.74,-1.41,-0.49
Special Family Occasion,3.53,3.1,3.73,-0.43,0.63
Other Expenditures,1.58,1.58,1.45,-0.01,-0.13
Zamboanga Del Sur (excluding City Of Zamboanga),0.0,0.0,0.0,0.0,0.0
Share To Family Expenditure,100.0,100.0,100.0,0.0,0.0
Food And Non-alcoholic Beverages,55.0,47.89,43.2,-7.1,-4.69
Food Consumed At Home,50.78,46.95,41.31,-3.83,-5.65
Food Regularly Consumed Outside The Home,4.22,0.92,1.89,-3.3,0.97
Service For Processing Primary Goods For Food And Non- Alcoholic Beverages,0.0,0.02,0.01,0.02,-0.01
Alcoholic Beverages And Tobacco,1.69,1.59,1.42,-0.11,-0.17
Clothing And Footwear,3.12,2.08,2.33,-1.04,0.25
